# Topogram Sample
id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,start,end,time,date,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,emoji,extra
mat-lithium,Lithium,Lithium,Raw material (Lithium),#ff9800,#ffe0b2,2,2,-33.4489,-70.6693,,,,,,,,,,,,⛏️,
mat-cobalt,Cobalt,Cobalt,Raw material (Cobalt),#ff9800,#ffe0b2,2,2,-25.7479,28.2293,,,,,,,,,,,,⛏️,
mat-nickel,Nickel,Nickel,Raw material (Nickel),#ff9800,#ffe0b2,2,2,-6.2088,106.8456,,,,,,,,,,,,⛏️,
mat-silicon,Silicon,Silicon,Raw material (Silicon),#ff9800,#ffe0b2,2,2,39.9042,116.4074,,,,,,,,,,,,⛏️,
proc-chem-refine,Chemical Refining,Chemical Refining,Process/Product stage,#9c27b0,#e1bee7,2,2,0,0,,,,,,,,,,,,,
proc-battery-cell,Battery Cell,Battery Cell,Process/Product stage,#9c27b0,#e1bee7,2,2,0,0,,,,,,,,,,,,,
proc-battery-pack,Battery Pack,Battery Pack,Process/Product stage,#9c27b0,#e1bee7,2,2,0,0,,,,,,,,,,,,,
proc-smartphone,Smartphone,Smartphone,Process/Product stage,#9c27b0,#e1bee7,2,2,0,0,,,,,,,,,,,,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,mat-lithium,proc-chem-refine,refining,#795548,50,refining,arrow,,
,,,,,,,,,,2025-01-01,2025-12-31,2025,2025-01-01,mat-lithium,proc-chem-refine,refining,#795548,50,refining,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,mat-cobalt,proc-chem-refine,refining,#795548,50,refining,arrow,,
,,,,,,,,,,2025-01-01,2025-12-31,2025,2025-01-01,mat-cobalt,proc-chem-refine,refining,#795548,50,refining,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,mat-nickel,proc-chem-refine,refining,#795548,50,refining,arrow,,
,,,,,,,,,,2025-01-01,2025-12-31,2025,2025-01-01,mat-nickel,proc-chem-refine,refining,#795548,50,refining,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,proc-chem-refine,proc-battery-cell,cell manufacturing,#795548,50,cell manufacturing,arrow,,
,,,,,,,,,,2025-01-01,2025-12-31,2025,2025-01-01,proc-chem-refine,proc-battery-cell,cell manufacturing,#795548,50,cell manufacturing,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,proc-battery-cell,proc-battery-pack,pack assembly,#795548,50,pack assembly,arrow,,
,,,,,,,,,,2025-01-01,2025-12-31,2025,2025-01-01,proc-battery-cell,proc-battery-pack,pack assembly,#795548,50,pack assembly,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,proc-battery-pack,proc-smartphone,final assembly,#795548,50,final assembly,arrow,,
,,,,,,,,,,2025-01-01,2025-12-31,2025,2025-01-01,proc-battery-pack,proc-smartphone,final assembly,#795548,50,final assembly,arrow,,
