# Topogram Sample
id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,start,end,time,date,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,emoji,extra
country-cn,China,China,Country (trade node),#607d8b,#cfd8dc,1,1,39.9042,116.4074,,,,,,,,,,,,,
country-us,United States,United States,Country (trade node),#607d8b,#cfd8dc,1,1,38.9072,-77.0369,,,,,,,,,,,,,
country-jp,Japan,Japan,Country (trade node),#607d8b,#cfd8dc,1,1,35.6762,139.6503,,,,,,,,,,,,,
country-kr,South Korea,South Korea,Country (trade node),#607d8b,#cfd8dc,1,1,37.5665,126.978,,,,,,,,,,,,,
country-tw,Taiwan,Taiwan,Country (trade node),#607d8b,#cfd8dc,1,1,25.033,121.5654,,,,,,,,,,,,,
country-vn,Vietnam,Vietnam,Country (trade node),#607d8b,#cfd8dc,1,1,21.0278,105.8342,,,,,,,,,,,,,
country-th,Thailand,Thailand,Country (trade node),#607d8b,#cfd8dc,1,1,13.7563,100.5018,,,,,,,,,,,,,
country-my,Malaysia,Malaysia,Country (trade node),#607d8b,#cfd8dc,1,1,3.139,101.6869,,,,,,,,,,,,,
country-sg,Singapore,Singapore,Country (trade node),#607d8b,#cfd8dc,1,1,1.3521,103.8198,,,,,,,,,,,,,
country-id,Indonesia,Indonesia,Country (trade node),#607d8b,#cfd8dc,1,1,-6.2088,106.8456,,,,,,,,,,,,,
country-in,India,India,Country (trade node),#607d8b,#cfd8dc,1,1,28.6139,77.209,,,,,,,,,,,,,
country-mx,Mexico,Mexico,Country (trade node),#607d8b,#cfd8dc,1,1,19.4326,-99.1332,,,,,,,,,,,,,
country-de,Germany,Germany,Country (trade node),#607d8b,#cfd8dc,1,1,52.52,13.405,,,,,,,,,,,,,
country-fr,France,France,Country (trade node),#607d8b,#cfd8dc,1,1,48.8566,2.3522,,,,,,,,,,,,,
country-gb,United Kingdom,United Kingdom,Country (trade node),#607d8b,#cfd8dc,1,1,51.5074,-0.1278,,,,,,,,,,,,,
country-nl,Netherlands,Netherlands,Country (trade node),#607d8b,#cfd8dc,1,1,52.3676,4.9041,,,,,,,,,,,,,
country-be,Belgium,Belgium,Country (trade node),#607d8b,#cfd8dc,1,1,50.8503,4.3517,,,,,,,,,,,,,
country-es,Spain,Spain,Country (trade node),#607d8b,#cfd8dc,1,1,40.4168,-3.7038,,,,,,,,,,,,,
country-it,Italy,Italy,Country (trade node),#607d8b,#cfd8dc,1,1,41.9028,12.4964,,,,,,,,,,,,,
country-pl,Poland,Poland,Country (trade node),#607d8b,#cfd8dc,1,1,52.2297,21.0122,,,,,,,,,,,,,
country-tr,Türkiye,Türkiye,Country (trade node),#607d8b,#cfd8dc,1,1,39.9334,32.8597,,,,,,,,,,,,,
country-ae,United Arab Emirates,United Arab Emirates,Country (trade node),#607d8b,#cfd8dc,1,1,24.4539,54.3773,,,,,,,,,,,,,
country-br,Brazil,Brazil,Country (trade node),#607d8b,#cfd8dc,1,1,-15.7939,-47.8828,,,,,,,,,,,,,
country-cl,Chile,Chile,Country (trade node),#607d8b,#cfd8dc,1,1,-33.4489,-70.6693,,,,,,,,,,,,,
country-za,South Africa,South Africa,Country (trade node),#607d8b,#cfd8dc,1,1,-25.7479,28.2293,,,,,,,,,,,,,
country-au,Australia,Australia,Country (trade node),#607d8b,#cfd8dc,1,1,-35.2809,149.13,,,,,,,,,,,,,
country-ca,Canada,Canada,Country (trade node),#607d8b,#cfd8dc,1,1,45.4215,-75.6972,,,,,,,,,,,,,
,,,,,,,,,,2019-01-01,2019-12-31,2019,2019-01-01,country-cn,country-us,HS-8507 Batteries 2019,#3f51b5,419,HS-8507 Batteries 2019,arrow,,
,,,,,,,,,,2020-01-01,2020-12-31,2020,2020-01-01,country-cn,country-us,HS-8507 Batteries 2020,#3f51b5,1093,HS-8507 Batteries 2020,arrow,,
,,,,,,,,,,2021-01-01,2021-12-31,2021,2021-01-01,country-cn,country-us,HS-8507 Batteries 2021,#3f51b5,398,HS-8507 Batteries 2021,arrow,,
,,,,,,,,,,2022-01-01,2022-12-31,2022,2022-01-01,country-cn,country-us,HS-8507 Batteries 2022,#3f51b5,323,HS-8507 Batteries 2022,arrow,,
,,,,,,,,,,2023-01-01,2023-12-31,2023,2023-01-01,country-cn,country-us,HS-8507 Batteries 2023,#3f51b5,642,HS-8507 Batteries 2023,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,country-cn,country-us,HS-8507 Batteries 2024,#3f51b5,350,HS-8507 Batteries 2024,arrow,,
