id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libabsl-dev","libabsl-dev","libabsl-dev","extensions to the C++ standard library (development files)","","","1","1","","","","Section=libdevel; Version=20240722.0-4","","","","","","","",""
"libabsl20240722","libabsl20240722","libabsl20240722","extensions to the C++ standard library","","","1","1","","","","Section=libs; Version=20240722.0-4","","","","","","","",""
"cmake","cmake","cmake","cross-platform, open-source make system","","","1","1","","","","Section=devel; Version=3.31.6-2","","","","","","","",""
"g++","g++","g++","GNU C++ compiler","","","1","1","","","","Section=devel; Version=4:14.2.0-1","","","","","","","",""
"libgmock-dev","libgmock-dev","libgmock-dev","Google's framework for writing C++ tests","","","1","1","","","","Section=libdevel; Version=1.16.0-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"cmake-data","cmake-data","cmake-data","CMake data files (modules, templates and documentation)","","","1","1","","","","Section=devel; Version=3.31.6-2","","","","","","","",""
"procps","procps","procps","/proc file system utilities","","","1","1","","","","Section=admin; Version=2:4.0.4-9","","","","","","","",""
"libarchive13t64","libarchive13t64","libarchive13t64","Multi-format archive and compression library (shared library)","","","1","1","","","","Section=libs; Version=3.7.4-4","","","","","","","",""
"libcurl4t64","libcurl4t64","libcurl4t64","easy-to-use client-side URL transfer library (OpenSSL flavour)","","","1","1","","","","Section=libs; Version=8.14.1-2","","","","","","","",""
"libexpat1","libexpat1","libexpat1","XML parsing C library - runtime library","","","1","1","","","","Section=libs; Version=2.7.1-2","","","","","","","",""
"libjsoncpp26","libjsoncpp26","libjsoncpp26","library for reading and writing JSON for C++","","","1","1","","","","Section=libs; Version=1.9.6-3","","","","","","","",""
"librhash1","librhash1","librhash1","shared library for hash functions computing","","","1","1","","","","Section=libs; Version=1.4.5-1","","","","","","","",""
"libuv1t64","libuv1t64","libuv1t64","asynchronous event notification library - runtime library","","","1","1","","","","Section=libs; Version=1.50.0-2","","","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","","","",""
"gcc","gcc","gcc","GNU C compiler","","","1","1","","","","Section=devel; Version=4:14.2.0-1","","","","","","","",""
