id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libghc-aeson-dev","libghc-aeson-dev","libghc-aeson-dev","Fast JSON parsing and encoding library","","","1","1","","","","Section=haskell; Version=2.1.2.1-6+b1","","","","","","","",""
"libghc-attoparsec-dev-0.14.4-69f92","libghc-attoparsec-dev-0.14.4-69f92","libghc-attoparsec-dev-0.14.4-69f92","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-base-compat-batteries-dev-0.13.1-4f013","libghc-base-compat-batteries-dev-0.13.1-4f013","libghc-base-compat-batteries-dev-0.13.1-4f013","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-base-dev-4.18.2.1-8e81e","libghc-base-dev-4.18.2.1-8e81e","libghc-base-dev-4.18.2.1-8e81e","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-bytestring-dev-0.11.5.3-7048d","libghc-bytestring-dev-0.11.5.3-7048d","libghc-bytestring-dev-0.11.5.3-7048d","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-containers-dev-0.6.7-7a228","libghc-containers-dev-0.6.7-7a228","libghc-containers-dev-0.6.7-7a228","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-data-fix-dev-0.3.4-750b1","libghc-data-fix-dev-0.3.4-750b1","libghc-data-fix-dev-0.3.4-750b1","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-deepseq-dev-1.4.8.1-9013f","libghc-deepseq-dev-1.4.8.1-9013f","libghc-deepseq-dev-1.4.8.1-9013f","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-dlist-dev-1.0-d3ec3","libghc-dlist-dev-1.0-d3ec3","libghc-dlist-dev-1.0-d3ec3","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-exceptions-dev-0.10.7-0356d","libghc-exceptions-dev-0.10.7-0356d","libghc-exceptions-dev-0.10.7-0356d","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-ghc-prim-dev-0.10.0-e2193","libghc-ghc-prim-dev-0.10.0-e2193","libghc-ghc-prim-dev-0.10.0-e2193","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-hashable-dev-1.4.4.0-fb202","libghc-hashable-dev-1.4.4.0-fb202","libghc-hashable-dev-1.4.4.0-fb202","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-indexed-traversable-dev-0.1.4-c2a22","libghc-indexed-traversable-dev-0.1.4-c2a22","libghc-indexed-traversable-dev-0.1.4-c2a22","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-onetuple-dev-0.4.2-e594b","libghc-onetuple-dev-0.4.2-e594b","libghc-onetuple-dev-0.4.2-e594b","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-primitive-dev-0.8.0.0-0ecbe","libghc-primitive-dev-0.8.0.0-0ecbe","libghc-primitive-dev-0.8.0.0-0ecbe","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-quickcheck-dev-2.14.3-955ee","libghc-quickcheck-dev-2.14.3-955ee","libghc-quickcheck-dev-2.14.3-955ee","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-scientific-dev-0.3.7.0-4d9a8","libghc-scientific-dev-0.3.7.0-4d9a8","libghc-scientific-dev-0.3.7.0-4d9a8","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-semialign-dev-1.3.1-cca83","libghc-semialign-dev-1.3.1-cca83","libghc-semialign-dev-1.3.1-cca83","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-strict-dev-0.5-aee4d","libghc-strict-dev-0.5-aee4d","libghc-strict-dev-0.5-aee4d","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-tagged-dev-0.8.8-43686","libghc-tagged-dev-0.8.8-43686","libghc-tagged-dev-0.8.8-43686","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-template-haskell-dev-2.20.0.0-54f98","libghc-template-haskell-dev-2.20.0.0-54f98","libghc-template-haskell-dev-2.20.0.0-54f98","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-text-dev-2.0.2-5b954","libghc-text-dev-2.0.2-5b954","libghc-text-dev-2.0.2-5b954","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-text-short-dev-0.1.6-8b979","libghc-text-short-dev-0.1.6-8b979","libghc-text-short-dev-0.1.6-8b979","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-th-abstraction-dev-0.5.0.0-7c32d","libghc-th-abstraction-dev-0.5.0.0-7c32d","libghc-th-abstraction-dev-0.5.0.0-7c32d","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-these-dev-1.2.1-9ab27","libghc-these-dev-1.2.1-9ab27","libghc-these-dev-1.2.1-9ab27","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-time-compat-dev-1.9.6.1-a9589","libghc-time-compat-dev-1.9.6.1-a9589","libghc-time-compat-dev-1.9.6.1-a9589","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-time-dev-1.12.2-eb20f","libghc-time-dev-1.12.2-eb20f","libghc-time-dev-1.12.2-eb20f","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-unordered-containers-dev-0.2.20-a0e00","libghc-unordered-containers-dev-0.2.20-a0e00","libghc-unordered-containers-dev-0.2.20-a0e00","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-uuid-types-dev-1.0.5.1-70f39","libghc-uuid-types-dev-1.0.5.1-70f39","libghc-uuid-types-dev-1.0.5.1-70f39","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-vector-dev-0.13.1.0-ca5d5","libghc-vector-dev-0.13.1.0-ca5d5","libghc-vector-dev-0.13.1.0-ca5d5","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-witherable-dev-0.4.2-b187c","libghc-witherable-dev-0.4.2-b187c","libghc-witherable-dev-0.4.2-b187c","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgmp10","libgmp10","libgmp10","Multiprecision arithmetic library","","","1","1","","","","Section=libs; Version=2:6.3.0+dfsg-3","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"","","","","","","","","","","","","libghc-aeson-dev","libghc-attoparsec-dev-0.14.4-69f92","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-base-compat-batteries-dev-0.13.1-4f013","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-base-dev-4.18.2.1-8e81e","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-bytestring-dev-0.11.5.3-7048d","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-containers-dev-0.6.7-7a228","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-data-fix-dev-0.3.4-750b1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-deepseq-dev-1.4.8.1-9013f","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-dlist-dev-1.0-d3ec3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-exceptions-dev-0.10.7-0356d","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-ghc-prim-dev-0.10.0-e2193","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-hashable-dev-1.4.4.0-fb202","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-indexed-traversable-dev-0.1.4-c2a22","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-onetuple-dev-0.4.2-e594b","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-primitive-dev-0.8.0.0-0ecbe","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-quickcheck-dev-2.14.3-955ee","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-scientific-dev-0.3.7.0-4d9a8","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-semialign-dev-1.3.1-cca83","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-strict-dev-0.5-aee4d","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-tagged-dev-0.8.8-43686","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-template-haskell-dev-2.20.0.0-54f98","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-aeson-dev","libghc-text-dev-2.0.2-5b954","Depends","#333","1","Depends","arrow","{}"
