id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
texlive,texlive,texlive,TeX Live: A decent selection of the TeX Live packages,,,1,1,,,,Section=tex; Version=2024.20250309-1,,,,,,,
texlive-fonts-recommended,texlive-fonts-recommended,texlive-fonts-recommended,TeX Live: Recommended fonts,,,1,1,,,,Section=fonts; Version=2024.20250309-1,,,,,,,
texlive-latex-base,texlive-latex-base,texlive-latex-base,TeX Live: LaTeX fundamental packages,,,1,1,,,,Section=tex; Version=2024.20250309-1,,,,,,,
texlive-latex-recommended,texlive-latex-recommended,texlive-latex-recommended,TeX Live: LaTeX recommended packages,,,1,1,,,,Section=tex; Version=2024.20250309-1,,,,,,,
tex-common,tex-common,tex-common,common infrastructure for building and installing TeX,,,1,1,,,,Section=tex; Version=6.19,,,,,,,
texlive-base,texlive-base,texlive-base,TeX Live: Essential programs and files,,,1,1,,,,Section=tex; Version=2024.20250309-1,,,,,,,
tex-gyre,tex-gyre,tex-gyre,scalable PostScript and OpenType fonts based on URW Fonts,,,1,1,,,,Section=fonts; Version=20180621-6,,,,,,,
tipa,tipa,tipa,system for processing phonetic symbols in LaTeX,,,1,1,,,,Section=tex; Version=2:1.3-21,,,,,,,
fonts-lmodern,fonts-lmodern,fonts-lmodern,OpenType fonts based on Computer Modern,,,1,1,,,,Section=fonts; Version=2.005-1,,,,,,,
texlive-binaries,texlive-binaries,texlive-binaries,Binaries for TeX Live,,,1,1,,,,Section=tex; Version=2024.20240313.70630+ds-6,,,,,,,
,,,,,,,,,,,,texlive-fonts-recommended,texlive,Depends,#333,1,Depends,{}
,,,,,,,,,,,,texlive-latex-base,texlive,Depends,#333,1,Depends,{}
,,,,,,,,,,,,texlive-latex-recommended,texlive,Depends,#333,1,Depends,{}
,,,,,,,,,,,,tex-common,texlive-fonts-recommended,Depends,#333,1,Depends,{}
,,,,,,,,,,,,texlive-base,texlive-fonts-recommended,Depends,#333,1,Depends,{}
,,,,,,,,,,,,tex-gyre,texlive-fonts-recommended,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,tipa,texlive-fonts-recommended,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,tex-common,texlive-latex-base,Depends,#333,1,Depends,{}
,,,,,,,,,,,,fonts-lmodern,texlive-latex-base,Depends,#333,1,Depends,{}
,,,,,,,,,,,,texlive-base,texlive-latex-base,Depends,#333,1,Depends,{}
,,,,,,,,,,,,texlive-binaries,texlive-latex-base,Depends,#333,1,Depends,{}
,,,,,,,,,,,,tex-common,texlive-latex-recommended,Depends,#333,1,Depends,{}
,,,,,,,,,,,,texlive-base,texlive-latex-recommended,Depends,#333,1,Depends,{}
,,,,,,,,,,,,texlive-binaries,texlive-latex-recommended,Depends,#333,1,Depends,{}
,,,,,,,,,,,,texlive-latex-base,texlive-latex-recommended,Depends,#333,1,Depends,{}
