id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libyaml-perl,libyaml-perl,libyaml-perl,YAML Ain't Markup Language,,,1,1,,,,Section=perl; Version=1.31-1,,,,,,,
perl:any,perl:any,perl:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libyaml-libyaml-perl,libyaml-libyaml-perl,libyaml-libyaml-perl,"Perl interface to libyaml, a YAML implementation",,,1,1,,,,Section=perl; Version=0.903.0+ds-1,,,,,,,
perl,perl,perl,Larry Wall's Practical Extraction and Report Language,,,1,1,,,,Section=perl; Version=5.40.1-6,,,,,,,
perlapi-5.40.0,perlapi-5.40.0,perlapi-5.40.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libyaml-0-2,libyaml-0-2,libyaml-0-2,Fast YAML 1.1 parser and emitter library,,,1,1,,,,Section=libs; Version=0.2.5-2,,,,,,,
libscalar-list-utils-perl,libscalar-list-utils-perl,libscalar-list-utils-perl,modules providing common scalar and list utility subroutines,,,1,1,,,,Section=perl; Version=1:1.63-1+b4,,,,,,,
,,,,,,,,,,,,perl:any,libyaml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libyaml-libyaml-perl,libyaml-perl,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,perl,libyaml-libyaml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perlapi-5.40.0,libyaml-libyaml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libyaml-libyaml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libyaml-0-2,libyaml-libyaml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libscalar-list-utils-perl,libyaml-libyaml-perl,Depends,#333,1,Depends,{}
