id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
gnuradio,gnuradio,gnuradio,GNU Radio Software Radio Toolkit,,,1,1,,,,Section=comm; Version=3.10.12.0-1,,,,,,,
gnome-terminal,gnome-terminal,gnome-terminal,GNOME terminal emulator application,,,1,1,,,,Section=gnome; Version=3.56.2-2,,,,,,,
libjs-mathjax,libjs-mathjax,libjs-mathjax,JavaScript display engine for LaTeX and MathML,,,1,1,,,,Section=javascript; Version=2.7.9+dfsg-1,,,,,,,
libvolk-bin,libvolk-bin,libvolk-bin,vector optimized runtime tools,,,1,1,,,,Section=libs; Version=3.2.0-2,,,,,,,
python3-click,python3-click,python3-click,Command-Line Interface Creation Kit - Python 3.x,,,1,1,,,,Section=python; Version=8.2.0+0.really.8.1.8-1,,,,,,,
python3-click-plugins,python3-click-plugins,python3-click-plugins,Click extension to register external CLI commands (Python 3),,,1,1,,,,Section=python; Version=1.1.1-5,,,,,,,
python3-gi,python3-gi,python3-gi,Python 3 bindings for gobject-introspection libraries,,,1,1,,,,Section=python; Version=3.50.0-4+b1,,,,,,,
python3-gi-cairo,python3-gi-cairo,python3-gi-cairo,Python 3 Cairo bindings for the GObject library,,,1,1,,,,Section=python; Version=3.50.0-4+b1,,,,,,,
python3-jsonschema,python3-jsonschema,python3-jsonschema,An(other) implementation of JSON Schema,,,1,1,,,,Section=python; Version=4.19.2-6,,,,,,,
python3-lxml,python3-lxml,python3-lxml,pythonic binding for the libxml2 and libxslt libraries,,,1,1,,,,Section=python; Version=5.4.0-1,,,,,,,
python3-mako,python3-mako,python3-mako,fast and lightweight templating for the Python 3 platform,,,1,1,,,,Section=python; Version=1.3.9-1,,,,,,,
python3-numpy,python3-numpy,python3-numpy,Python library for numerical computations (Python 3),,,1,1,,,,Section=python; Version=1:2.2.4+ds-1,,,,,,,
python3-opengl,python3-opengl,python3-opengl,Python bindings to OpenGL (Python 3),,,1,1,,,,Section=python; Version=3.1.9+dfsg-2,,,,,,,
python3-packaging,python3-packaging,python3-packaging,core utilities for python3 packages,,,1,1,,,,Section=python; Version=25.0-1,,,,,,,
python3-pygccxml,python3-pygccxml,python3-pygccxml,specialized XML reader reads the output from gccxml - python3 lib,,,1,1,,,,Section=python; Version=3.0.2-1,,,,,,,
python3-pyqt5,python3-pyqt5,python3-pyqt5,Python 3 bindings for Qt5,,,1,1,,,,Section=python; Version=5.15.11+dfsg-2,,,,,,,
python3-pyqtgraph,python3-pyqtgraph,python3-pyqtgraph,Scientific Graphics and GUI Library for Python 3,,,1,1,,,,Section=python; Version=0.13.7-5,,,,,,,
