id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
php-symfony,php-symfony,php-symfony,set of reusable components and framework for web projects,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-asset,php-symfony-asset,php-symfony-asset,manage asset URLs,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-asset-mapper,php-symfony-asset-mapper,php-symfony-asset-mapper,maps directories of asset and makes them available in a public directory,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-browser-kit,php-symfony-browser-kit,php-symfony-browser-kit,simulate the behavior of a web browser,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-cache,php-symfony-cache,php-symfony-cache,"provides extended PSR-6, PSR-16 (and tags) implementations",,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-clock,php-symfony-clock,php-symfony-clock,Decouples applications from the system clock,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-config,php-symfony-config,php-symfony-config,load configurations from different data sources,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-console,php-symfony-console,php-symfony-console,run tasks from the command line,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-css-selector,php-symfony-css-selector,php-symfony-css-selector,convert CSS selectors to XPath expressions,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-dependency-injection,php-symfony-dependency-injection,php-symfony-dependency-injection,standardize and centralize construction of objects,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-debug-bundle,php-symfony-debug-bundle,php-symfony-debug-bundle,debugging tools for the Symfony framework,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-doctrine-bridge,php-symfony-doctrine-bridge,php-symfony-doctrine-bridge,integration for Doctrine with Symfony Components,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-dom-crawler,php-symfony-dom-crawler,php-symfony-dom-crawler,ease DOM navigation for HTML and XML documents,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-dotenv,php-symfony-dotenv,php-symfony-dotenv,.env files parser to make environment variables accessible,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-error-handler,php-symfony-error-handler,php-symfony-error-handler,manage errors and ease debugging,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-event-dispatcher,php-symfony-event-dispatcher,php-symfony-event-dispatcher,dispatch events and listen to them,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-expression-language,php-symfony-expression-language,php-symfony-expression-language,compile and evaluate expressions,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-filesystem,php-symfony-filesystem,php-symfony-filesystem,basic filesystem utilities,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-finder,php-symfony-finder,php-symfony-finder,find files and directories,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-form,php-symfony-form,php-symfony-form,create HTML forms and process request data,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-framework-bundle,php-symfony-framework-bundle,php-symfony-framework-bundle,"basic, robust and flexible MVC framework",,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-http-client,php-symfony-http-client,php-symfony-http-client,methods to fetch HTTP resources synchronously or asynchronously,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-http-foundation,php-symfony-http-foundation,php-symfony-http-foundation,object-oriented layer for the HTTP specification,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-http-kernel,php-symfony-http-kernel,php-symfony-http-kernel,building blocks for flexible and fast HTTP-based frameworks,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-intl,php-symfony-intl,php-symfony-intl,limited replacement layer for the PHP extension intl,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-ldap,php-symfony-ldap,php-symfony-ldap,abstraction layer for the PHP LDAP module,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-lock,php-symfony-lock,php-symfony-lock,create and manage locks,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-mailer,php-symfony-mailer,php-symfony-mailer,help sending emails,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-messenger,php-symfony-messenger,php-symfony-messenger,send and receive messages,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-mime,php-symfony-mime,php-symfony-mime,library to manipulate MIME messages,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-monolog-bridge,php-symfony-monolog-bridge,php-symfony-monolog-bridge,integration for Monolog with Symfony Components,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-notifier,php-symfony-notifier,php-symfony-notifier,"Sends notifications via one or more channels (email, SMS, ...)",,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-options-resolver,php-symfony-options-resolver,php-symfony-options-resolver,configure objects with option arrays,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-password-hasher,php-symfony-password-hasher,php-symfony-password-hasher,password hashing utilities - Symfony Component,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-process,php-symfony-process,php-symfony-process,execute commands in sub-processes,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-property-access,php-symfony-property-access,php-symfony-property-access,read from and write to an object or array,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-property-info,php-symfony-property-info,php-symfony-property-info,extract information about properties of PHP classes,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-proxy-manager-bridge,php-symfony-proxy-manager-bridge,php-symfony-proxy-manager-bridge,integration for ProxyManager with Symfony Components,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-rate-limiter,php-symfony-rate-limiter,php-symfony-rate-limiter,rate limit input and output in applications,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-remote-event,php-symfony-remote-event,php-symfony-remote-event,Eases handling remote events,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-routing,php-symfony-routing,php-symfony-routing,associate a request with code that generates a response,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-scheduler,php-symfony-scheduler,php-symfony-scheduler,Provides scheduling through Symfony Messenger,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-security-bundle,php-symfony-security-bundle,php-symfony-security-bundle,configurable security system for the Symfony framework,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-security-core,php-symfony-security-core,php-symfony-security-core,infrastructure for authorization systems - common features,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-security-csrf,php-symfony-security-csrf,php-symfony-security-csrf,infrastructure for authorization systems - CSRF protection,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-security-http,php-symfony-security-http,php-symfony-security-http,infrastructure for authorization systems - HTTP integration,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-semaphore,php-symfony-semaphore,php-symfony-semaphore,provide exclusive access to a shared resource,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-serializer,php-symfony-serializer,php-symfony-serializer,convert PHP objects into specific formats and vice versa,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-stopwatch,php-symfony-stopwatch,php-symfony-stopwatch,profile PHP code,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-string,php-symfony-string,php-symfony-string,object-oriented API to work with strings,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-templating,php-symfony-templating,php-symfony-templating,tools needed to build a template system,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-translation,php-symfony-translation,php-symfony-translation,tools to internationalize an application,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-twig-bridge,php-symfony-twig-bridge,php-symfony-twig-bridge,integration for Twig with Symfony Components,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-twig-bundle,php-symfony-twig-bundle,php-symfony-twig-bundle,configurable integration of Twig with the Symfony framework,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-uid,php-symfony-uid,php-symfony-uid,object-oriented API to generate and represent UIDs,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-validator,php-symfony-validator,php-symfony-validator,tools to validate values,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-var-dumper,php-symfony-var-dumper,php-symfony-var-dumper,mechanisms for walking through any arbitrary PHP variable,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-var-exporter,php-symfony-var-exporter,php-symfony-var-exporter,export serializable PHP data structure to plain PHP code,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-web-link,php-symfony-web-link,php-symfony-web-link,manage links between resources,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-web-profiler-bundle,php-symfony-web-profiler-bundle,php-symfony-web-profiler-bundle,collect requests information for analysis and debugging,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-webhook,php-symfony-webhook,php-symfony-webhook,Eases sending and consuming webhooks,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-workflow,php-symfony-workflow,php-symfony-workflow,manage a workflow or finite state machine,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-symfony-yaml,php-symfony-yaml,php-symfony-yaml,convert YAML to PHP arrays and the other way around,,,1,1,,,,Section=php; Version=6.4.21+dfsg-2,,,,,,,
php-common,php-common,php-common,Common files for PHP packages,,,1,1,,,,Section=php; Version=2:96,,,,,,,
php-composer-semver,php-composer-semver,php-composer-semver,"utilities, version constraint parsing and validation",,,1,1,,,,Section=php; Version=3.4.3-2,,,,,,,
php-xml,php-xml,php-xml,"DOM, SimpleXML, WDDX, XML, and XSL module for PHP [default]",,,1,1,,,,Section=php; Version=2:8.4+96,,,,,,,
php-friendsofphp-proxy-manager-lts,php-friendsofphp-proxy-manager-lts,php-friendsofphp-proxy-manager-lts,unknown,,,1,1,,,,missing in Packages file,,,,,,,
