id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
science-all,science-all,science-all,Default selection of tasks for Debian Science,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-dataacquisition,science-dataacquisition,science-dataacquisition,Debian Science data acquisition packages,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-dataacquisition-dev,science-dataacquisition-dev,science-dataacquisition-dev,Debian Science data acquisition development packages,,,1,1,,,,Section=science; Version=1.15,,,,,,,
science-datamanagement,science-datamanagement,science-datamanagement,Debian Science Data Management packages,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-distributedcomputing,science-distributedcomputing,science-distributedcomputing,Debian Science Distributed Computing packages,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-imageanalysis,science-imageanalysis,science-imageanalysis,Debian Science image analysis packages,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-imageanalysis-dev,science-imageanalysis-dev,science-imageanalysis-dev,Debian Science development of image analysis applications,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-machine-learning,science-machine-learning,science-machine-learning,Debian Science Machine Learning packages,,,1,1,,,,Section=science; Version=1.15,,,,,,,
science-numericalcomputation,science-numericalcomputation,science-numericalcomputation,Debian Science Numerical Computation packages,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-presentation,science-presentation,science-presentation,Debian Science generic tools for presentations,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-simulations,science-simulations,science-simulations,Debian Science Simulation packages,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-statistics,science-statistics,science-statistics,Debian Science Statistics packages,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-typesetting,science-typesetting,science-typesetting,Debian Science typesetting packages,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-viewing,science-viewing,science-viewing,Debian Science data visualisation packages,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-viewing-dev,science-viewing-dev,science-viewing-dev,Debian Science development of visualisation applications,,,1,1,,,,Section=science; Version=1.15,,,,,,,
science-workflow,science-workflow,science-workflow,workflow management systems useful for scientific research,,,1,1,,,,Section=metapackages; Version=1.15,,,,,,,
science-config,science-config,science-config,Debian Science Project config package,,,1,1,,,,Section=science; Version=1.15,,,,,,,
science-tasks,science-tasks,science-tasks,Debian Science tasks for tasksel,,,1,1,,,,Section=science; Version=1.15,,,,,,,
