id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libcgi-pm-perl","libcgi-pm-perl","libcgi-pm-perl","module for Common Gateway Interface applications","","","1","1","","","","Section=perl; Version=4.68-1","","","","","","","",""
"perl:any","perl:any","perl:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libhtml-parser-perl","libhtml-parser-perl","libhtml-parser-perl","collection of modules that parse HTML text documents","","","1","1","","","","Section=perl; Version=3.83-1+b2","","","","","","","",""
"liburi-perl","liburi-perl","liburi-perl","module to manipulate and access URI strings","","","1","1","","","","Section=perl; Version=5.30-1","","","","","","","",""
"libcgi-fast-perl","libcgi-fast-perl","libcgi-fast-perl","CGI subclass for work with FCGI","","","1","1","","","","Section=perl; Version=1:2.17-1","","","","","","","",""
"perl","perl","perl","Larry Wall's Practical Extraction and Report Language","","","1","1","","","","Section=perl; Version=5.40.1-6","","","","","","","",""
"perlapi-5.40.0","perlapi-5.40.0","perlapi-5.40.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libhtml-tagset-perl","libhtml-tagset-perl","libhtml-tagset-perl","data tables pertaining to HTML","","","1","1","","","","Section=perl; Version=3.24-1","","","","","","","",""
"libhttp-message-perl","libhttp-message-perl","libhttp-message-perl","perl interface to HTTP style messages","","","1","1","","","","Section=perl; Version=7.00-2","","","","","","","",""
"libencode-perl","libencode-perl","libencode-perl","module providing interfaces between Perl's strings and the system","","","1","1","","","","Section=perl; Version=3.21-1+b2","","","","","","","",""
"libscalar-list-utils-perl","libscalar-list-utils-perl","libscalar-list-utils-perl","modules providing common scalar and list utility subroutines","","","1","1","","","","Section=perl; Version=1:1.63-1+b4","","","","","","","",""
"libfcgi-perl","libfcgi-perl","libfcgi-perl","helper module for FastCGI","","","1","1","","","","Section=perl; Version=0.82+ds-3+b2","","","","","","","",""
"","","","","","","","","","","","","libcgi-pm-perl","perl:any","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcgi-pm-perl","libhtml-parser-perl","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcgi-pm-perl","liburi-perl","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcgi-pm-perl","libcgi-fast-perl","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libhtml-parser-perl","perl","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libhtml-parser-perl","perlapi-5.40.0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libhtml-parser-perl","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libhtml-parser-perl","libhtml-tagset-perl","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libhtml-parser-perl","liburi-perl","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libhtml-parser-perl","libhttp-message-perl","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","liburi-perl","perl:any","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","liburi-perl","libencode-perl","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","liburi-perl","libscalar-list-utils-perl","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcgi-fast-perl","perl:any","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcgi-fast-perl","libcgi-pm-perl","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcgi-fast-perl","libfcgi-perl","Depends","#333","1","Depends","arrow","{}"
