id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"libkf6purpose-bin","libkf6purpose-bin","libkf6purpose-bin","abstraction to provide and leverage actions of a specific kind, runtime","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","",""
"qml6-module-org-kde-bluezqt","qml6-module-org-kde-bluezqt","qml6-module-org-kde-bluezqt","QML wrapper for bluez","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","",""
"qml6-module-org-kde-kcmutils","qml6-module-org-kde-kcmutils","qml6-module-org-kde-kcmutils","Extra APIs to write KConfig modules","","","1","1","","","","Section=libs; Version=6.13.0-2","","","","","",""
"qml6-module-org-kde-kirigami","qml6-module-org-kde-kirigami","qml6-module-org-kde-kirigami","set of QtQuick components targeted for mobile use (QML module)","","","1","1","","","","Section=libs; Version=6.13.0-2","","","","","",""
"qml6-module-org-kde-prison","qml6-module-org-kde-prison","qml6-module-org-kde-prison","barcode API for Qt","","","1","1","","","","Section=libs; Version=6.13.0-1","","","","","",""
"qml6-module-qtquick","qml6-module-qtquick","qml6-module-qtquick","Qt 6 Quick QML module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-7","","","","","",""
"qml6-module-qtquick-controls","qml6-module-qtquick-controls","qml6-module-qtquick-controls","Qt 6 Quick Controls QML module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-7","","","","","",""
"qml6-module-qtquick-dialogs","qml6-module-qtquick-dialogs","qml6-module-qtquick-dialogs","Qt 6 Quick Dialogs QML module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-7","","","","","",""
"qml6-module-qtquick-layouts","qml6-module-qtquick-layouts","qml6-module-qtquick-layouts","Qt 6 Quick Layouts QML module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-7","","","","","",""
"qml6-module-sso-onlineaccounts","qml6-module-sso-onlineaccounts","qml6-module-sso-onlineaccounts","Expose the Online Accounts API to Qt6 QML applications","","","1","1","","","","Section=libs; Version=0.7+git20231028.05e79eb-6","","","","","",""
"kio6","kio6","kio6","resource and network access abstraction","","","1","1","","","","Section=libs; Version=6.13.0-6","","","","","",""
"libaccounts-qt6-1","libaccounts-qt6-1","libaccounts-qt6-1","Accounts database access Qt version - Qt6 shared library","","","1","1","","","","Section=libs; Version=1.17-4+b1","","","","","",""
