id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libplack-perl,libplack-perl,libplack-perl,interface between web servers and Perl web applications,,,1,1,,,,Section=perl; Version=1.0051-1,,,,,,,
perl:any,perl:any,perl:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libapache-logformat-compiler-perl,libapache-logformat-compiler-perl,libapache-logformat-compiler-perl,Perl module to pre-compile a LogFormat string,,,1,1,,,,Section=perl; Version=0.36-3,,,,,,,
libcookie-baker-perl,libcookie-baker-perl,libcookie-baker-perl,simple cookie string generator and parser,,,1,1,,,,Section=perl; Version=0.12-1,,,,,,,
libdevel-stacktrace-ashtml-perl,libdevel-stacktrace-ashtml-perl,libdevel-stacktrace-ashtml-perl,module to display a stack trace in HTML,,,1,1,,,,Section=perl; Version=0.15-2,,,,,,,
libdevel-stacktrace-perl,libdevel-stacktrace-perl,libdevel-stacktrace-perl,Perl module containing stack trace and related objects,,,1,1,,,,Section=perl; Version=2.0500-1,,,,,,,
libfile-sharedir-perl,libfile-sharedir-perl,libfile-sharedir-perl,module to locate non-code files during run-time,,,1,1,,,,Section=perl; Version=1.118-3,,,,,,,
libfilesys-notify-simple-perl,libfilesys-notify-simple-perl,libfilesys-notify-simple-perl,simple file system monitor,,,1,1,,,,Section=perl; Version=0.14-3,,,,,,,
libhash-multivalue-perl,libhash-multivalue-perl,libhash-multivalue-perl,module for storing multiple values per key in a hash,,,1,1,,,,Section=perl; Version=0.16-3,,,,,,,
libhttp-entity-parser-perl,libhttp-entity-parser-perl,libhttp-entity-parser-perl,PSGI compliant HTTP Entity Parser,,,1,1,,,,Section=perl; Version=0.25-2,,,,,,,
libhttp-headers-fast-perl,libhttp-headers-fast-perl,libhttp-headers-fast-perl,faster implementation of HTTP::Headers,,,1,1,,,,Section=perl; Version=0.22-3,,,,,,,
libhttp-message-perl,libhttp-message-perl,libhttp-message-perl,perl interface to HTTP style messages,,,1,1,,,,Section=perl; Version=7.00-2,,,,,,,
libhttp-tiny-perl,libhttp-tiny-perl,libhttp-tiny-perl,"Perl module that implements a small, simple, correct HTTP/1.1 client",,,1,1,,,,Section=perl; Version=0.090-1,,,,,,,
libstream-buffered-perl,libstream-buffered-perl,libstream-buffered-perl,temporary buffer to store strings in a seekable filehandle,,,1,1,,,,Section=perl; Version=0.03-3,,,,,,,
libtest-tcp-perl,libtest-tcp-perl,libtest-tcp-perl,module to test TCP/IP programs,,,1,1,,,,Section=perl; Version=2.22-2,,,,,,,
libtry-tiny-perl,libtry-tiny-perl,libtry-tiny-perl,module providing minimalistic try/catch,,,1,1,,,,Section=perl; Version=0.32-1,,,,,,,
liburi-perl,liburi-perl,liburi-perl,module to manipulate and access URI strings,,,1,1,,,,Section=perl; Version=5.30-1,,,,,,,
libwww-form-urlencoded-perl,libwww-form-urlencoded-perl,libwww-form-urlencoded-perl,parser and builder for application/x-www-form-urlencoded format,,,1,1,,,,Section=perl; Version=0.26-2,,,,,,,
libcgi-compile-perl,libcgi-compile-perl,libcgi-compile-perl,module for compiling .cgi scripts to a code reference,,,1,1,,,,Section=perl; Version=0.27-1,,,,,,,
libcgi-emulate-psgi-perl,libcgi-emulate-psgi-perl,libcgi-emulate-psgi-perl,PSGI adapter for CGI,,,1,1,,,,Section=perl; Version=0.23-2,,,,,,,
libfcgi-perl,libfcgi-perl,libfcgi-perl,helper module for FastCGI,,,1,1,,,,Section=perl; Version=0.82+ds-3+b2,,,,,,,
libfcgi-procmanager-perl,libfcgi-procmanager-perl,libfcgi-procmanager-perl,Perl module to help manage FastCGI applications,,,1,1,,,,Section=perl; Version=0.28-3,,,,,,,
liblog-dispatch-perl,liblog-dispatch-perl,liblog-dispatch-perl,message dispatcher to multiple Log::Dispatch::* objects,,,1,1,,,,Section=perl; Version=2.71-1,,,,,,,
liblog-log4perl-perl,liblog-log4perl-perl,liblog-log4perl-perl,Perl port of the widely popular log4j logging package,,,1,1,,,,Section=perl; Version=1.57-1,,,,,,,
