id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"x11-utils","x11-utils","x11-utils","X11 utilities","","","1","1","","","","Section=x11; Version=7.7+7","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libfontconfig1","libfontconfig1","libfontconfig1","generic font configuration library - runtime","","","1","1","","","","Section=libs; Version=2.15.0-2.3","","","","","",""
"libgl1","libgl1","libgl1","Vendor neutral GL dispatch library -- legacy GL support","","","1","1","","","","Section=libs; Version=1.7.0-1+b2","","","","","",""
"libx11-6","libx11-6","libx11-6","X11 client-side library","","","1","1","","","","Section=libs; Version=2:1.8.12-1","","","","","",""
"libx11-xcb1","libx11-xcb1","libx11-xcb1","Xlib/XCB interface library","","","1","1","","","","Section=libs; Version=2:1.8.12-1","","","","","",""
"libxaw7","libxaw7","libxaw7","X11 Athena Widget library","","","1","1","","","","Section=libs; Version=2:1.0.16-1","","","","","",""
"libxcb-shape0","libxcb-shape0","libxcb-shape0","X C Binding, shape extension","","","1","1","","","","Section=libs; Version=1.17.0-2+b1","","","","","",""
"libxcb1","libxcb1","libxcb1","X C Binding","","","1","1","","","","Section=libs; Version=1.17.0-2+b1","","","","","",""
"libxcomposite1","libxcomposite1","libxcomposite1","X11 Composite extension library","","","1","1","","","","Section=libs; Version=1:0.4.6-1","","","","","",""
"libxext6","libxext6","libxext6","X11 miscellaneous extension library","","","1","1","","","","Section=libs; Version=2:1.3.4-1+b3","","","","","",""
"libxft2","libxft2","libxft2","FreeType-based font drawing library for X","","","1","1","","","","Section=libs; Version=2.3.6-1+b4","","","","","",""
"libxi6","libxi6","libxi6","X11 Input extension library","","","1","1","","","","Section=libs; Version=2:1.8.2-1","","","","","",""
"libxinerama1","libxinerama1","libxinerama1","X11 Xinerama extension library","","","1","1","","","","Section=libs; Version=2:1.1.4-3+b4","","","","","",""
"libxkbfile1","libxkbfile1","libxkbfile1","X11 keyboard file manipulation library","","","1","1","","","","Section=libs; Version=1:1.1.0-1+b4","","","","","",""
"libxmu6","libxmu6","libxmu6","X11 miscellaneous utility library","","","1","1","","","","Section=libs; Version=2:1.1.3-3+b4","","","","","",""
"libxmuu1","libxmuu1","libxmuu1","X11 miscellaneous micro-utility library","","","1","1","","","","Section=libs; Version=2:1.1.3-3+b4","","","","","",""
"libxrandr2","libxrandr2","libxrandr2","X11 RandR extension library","","","1","1","","","","Section=libs; Version=2:1.5.4-1+b3","","","","","",""
"libxrender1","libxrender1","libxrender1","X Rendering Extension client library","","","1","1","","","","Section=libs; Version=1:0.9.12-1","","","","","",""
"libxt6t64","libxt6t64","libxt6t64","X11 toolkit intrinsics library","","","1","1","","","","Section=libs; Version=1:1.2.1-1.2+b2","","","","","",""
"libxtst6","libxtst6","libxtst6","X11 Testing -- Record extension library","","","1","1","","","","Section=libs; Version=2:1.2.5-1","","","","","",""
"libxv1","libxv1","libxv1","X11 Video extension library","","","1","1","","","","Section=libs; Version=2:1.0.11-1.1+b3","","","","","",""
"libxxf86dga1","libxxf86dga1","libxxf86dga1","X11 Direct Graphics Access extension library","","","1","1","","","","Section=libs; Version=2:1.1.5-1+b3","","","","","",""
"libxxf86vm1","libxxf86vm1","libxxf86vm1","X11 XFree86 video mode extension library","","","1","1","","","","Section=libs; Version=1:1.1.4-1+b4","","","","","",""
"luit","luit","luit","locale and ISO 2022 support for Unicode terminals","","","1","1","","","","Section=utils; Version=2.0.20240910-1","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","",""
"libexpat1","libexpat1","libexpat1","XML parsing C library - runtime library","","","1","1","","","","Section=libs; Version=2.7.1-2","","","","","",""
"libfreetype6","libfreetype6","libfreetype6","FreeType 2 font engine, shared library files","","","1","1","","","","Section=libs; Version=2.13.3+dfsg-1","","","","","",""
"fontconfig-config","fontconfig-config","fontconfig-config","generic font configuration library - configuration","","","1","1","","","","Section=fonts; Version=2.15.0-2.3","","","","","",""
"libglvnd0","libglvnd0","libglvnd0","Vendor neutral GL dispatch library","","","1","1","","","","Section=libs; Version=1.7.0-1+b2","","","","","",""
"libglx0","libglx0","libglx0","Vendor neutral GL dispatch library -- GLX support","","","1","1","","","","Section=libs; Version=1.7.0-1+b2","","","","","",""
"libx11-data","libx11-data","libx11-data","X11 client-side library","","","1","1","","","","Section=x11; Version=2:1.8.12-1","","","","","",""
"libxpm4","libxpm4","libxpm4","X11 pixmap library","","","1","1","","","","Section=libs; Version=1:3.5.17-1+b3","","","","","",""
"libxau6","libxau6","libxau6","X11 authorisation library","","","1","1","","","","Section=libs; Version=1:1.0.11-1","","","","","",""
"libxdmcp6","libxdmcp6","libxdmcp6","X11 Display Manager Control Protocol library","","","1","1","","","","Section=libs; Version=1:1.1.5-1","","","","","",""
"libice6","libice6","libice6","X11 Inter-Client Exchange library","","","1","1","","","","Section=libs; Version=2:1.1.1-1","","","","","",""
"libsm6","libsm6","libsm6","X11 Session Management library","","","1","1","","","","Section=libs; Version=2:1.2.6-1","","","","","",""
"x11-common","x11-common","x11-common","X Window System (X.Org) infrastructure","","","1","1","","","","Section=x11; Version=1:7.7+24","","","","","",""
"","","","","","","","","","","","","x11-utils","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","x11-utils","libfontconfig1","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","x11-utils","libgl1","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","x11-utils","libx11-6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","x11-utils","libx11-xcb1","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","x11-utils","libxaw7","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","x11-utils","libxcb-shape0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","x11-utils","libxcb1","Depends","#333","1","Depends","{}"
