id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libspring-aop-java,libspring-aop-java,libspring-aop-java,modular Java/J2EE application framework - AOP,,,1,1,,,,Section=java; Version=4.3.30-3,,,,,,,
libspring-beans-java,libspring-beans-java,libspring-beans-java,modular Java/J2EE application framework - Beans,,,1,1,,,,Section=java; Version=4.3.30-3,,,,,,,
libspring-core-java,libspring-core-java,libspring-core-java,modular Java/J2EE application framework - Core,,,1,1,,,,Section=java; Version=4.3.30-3,,,,,,,
libatinject-jsr330-api-java,libatinject-jsr330-api-java,libatinject-jsr330-api-java,Java API for JSR-330 Dependency Injection,,,1,1,,,,Section=java; Version=1.0+ds1-6,,,,,,,
libactivation-java,libactivation-java,libactivation-java,JavaBeans Activation Framework,,,1,1,,,,Section=java; Version=1.2.0-2,,,,,,,
libasm-java,libasm-java,libasm-java,Java bytecode manipulation framework,,,1,1,,,,Section=java; Version=9.8-1,,,,,,,
libcommons-logging-java,libcommons-logging-java,libcommons-logging-java,common wrapper interface for several logging APIs,,,1,1,,,,Section=java; Version=1.3.0-2,,,,,,,
libjaxb-api-java,libjaxb-api-java,libjaxb-api-java,Java Architecture for XML Binding API,,,1,1,,,,Section=java; Version=2.3.1-1,,,,,,,
,,,,,,,,,,,,libspring-beans-java,libspring-aop-java,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libspring-core-java,libspring-aop-java,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libatinject-jsr330-api-java,libspring-beans-java,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libspring-core-java,libspring-beans-java,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libactivation-java,libspring-core-java,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libasm-java,libspring-core-java,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcommons-logging-java,libspring-core-java,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libjaxb-api-java,libspring-core-java,Depends,#333,1,Depends,{}
