id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libgrpc++-dev,libgrpc++-dev,libgrpc++-dev,high performance general RPC framework (development),,,1,1,,,,Section=libdevel; Version=1.51.1-6,,,,,,,
libgrpc++1.51t64,libgrpc++1.51t64,libgrpc++1.51t64,high performance general RPC framework,,,1,1,,,,Section=libs; Version=1.51.1-6,,,,,,,
libgrpc-dev,libgrpc-dev,libgrpc-dev,high performance general RPC framework (development),,,1,1,,,,Section=libdevel; Version=1.51.1-6,,,,,,,
pkgconf,pkgconf,pkgconf,manage compile and link flags for libraries,,,1,1,,,,Section=devel; Version=1.8.1-4,,,,,,,
zlib1g-dev,zlib1g-dev,zlib1g-dev,compression library - development,,,1,1,,,,Section=libdevel; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libssl-dev,libssl-dev,libssl-dev,Secure Sockets Layer toolkit - development files,,,1,1,,,,Section=libdevel; Version=3.5.1-1,,,,,,,
libabsl-dev,libabsl-dev,libabsl-dev,extensions to the C++ standard library (development files),,,1,1,,,,Section=libdevel; Version=20240722.0-4,,,,,,,
libc-ares-dev,libc-ares-dev,libc-ares-dev,asynchronous name resolver - development files,,,1,1,,,,Section=libdevel; Version=1.34.5-1,,,,,,,
libre2-dev,libre2-dev,libre2-dev,"efficient, principled regular expression library, development kit",,,1,1,,,,Section=libdevel; Version=20240702-3+b1,,,,,,,
libabsl20240722,libabsl20240722,libabsl20240722,extensions to the C++ standard library,,,1,1,,,,Section=libs; Version=20240722.0-4,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libgrpc29t64,libgrpc29t64,libgrpc29t64,high performance general RPC framework,,,1,1,,,,Section=libs; Version=1.51.1-6,,,,,,,
libprotobuf32t64,libprotobuf32t64,libprotobuf32t64,protocol buffers C++ library,,,1,1,,,,Section=libs; Version=3.21.12-11,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
pkgconf-bin,pkgconf-bin,pkgconf-bin,manage compile and link flags for libraries (binaries),,,1,1,,,,Section=devel; Version=1.8.1-4,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libc6-dev,libc6-dev,libc6-dev,GNU C Library: Development Libraries and Header Files,,,1,1,,,,Section=libdevel; Version=2.41-12,,,,,,,
libssl3t64,libssl3t64,libssl3t64,Secure Sockets Layer toolkit - shared libraries,,,1,1,,,,Section=libs; Version=3.5.1-1,,,,,,,
cmake,cmake,cmake,"cross-platform, open-source make system",,,1,1,,,,Section=devel; Version=3.31.6-2,,,,,,,
g++,g++,g++,GNU C++ compiler,,,1,1,,,,Section=devel; Version=4:14.2.0-1,,,,,,,
libgmock-dev,libgmock-dev,libgmock-dev,Google's framework for writing C++ tests,,,1,1,,,,Section=libdevel; Version=1.16.0-1,,,,,,,
libcares2,libcares2,libcares2,asynchronous name resolver,,,1,1,,,,Section=libs; Version=1.34.5-1,,,,,,,
libre2-11,libre2-11,libre2-11,"efficient, principled regular expression library",,,1,1,,,,Section=libs; Version=20240702-3+b1,,,,,,,
,,,,,,,,,,,,libgrpc++1.51t64,libgrpc++-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgrpc-dev,libgrpc++-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,pkgconf,libgrpc++-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g-dev,libgrpc++-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libssl-dev,libgrpc++-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libabsl-dev,libgrpc++-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc-ares-dev,libgrpc++-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libre2-dev,libgrpc++-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libabsl20240722,libgrpc++1.51t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libgrpc++1.51t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libgrpc++1.51t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgrpc29t64,libgrpc++1.51t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libprotobuf32t64,libgrpc++1.51t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,libgrpc++1.51t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgrpc29t64,libgrpc-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,pkgconf,libgrpc-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g-dev,libgrpc-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libssl-dev,libgrpc-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libabsl-dev,libgrpc-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc-ares-dev,libgrpc-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libre2-dev,libgrpc-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,pkgconf-bin,pkgconf,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,zlib1g-dev,Depends,#333,1,Depends,{}
