id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
ibacm,ibacm,ibacm,InfiniBand Communication Manager Assistant (ACM),,,1,1,,,,Section=net; Version=56.1-1,,,,,,,
rdma-core,rdma-core,rdma-core,RDMA core userspace infrastructure and documentation,,,1,1,,,,Section=net; Version=56.1-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libibumad3,libibumad3,libibumad3,InfiniBand Userspace Management Datagram (uMAD) library,,,1,1,,,,Section=libs; Version=56.1-1,,,,,,,
libibverbs1,libibverbs1,libibverbs1,Library for direct userspace use of RDMA (InfiniBand/iWARP),,,1,1,,,,Section=libs; Version=56.1-1,,,,,,,
libnl-3-200,libnl-3-200,libnl-3-200,library for dealing with netlink sockets,,,1,1,,,,Section=libs; Version=3.7.0-2,,,,,,,
libnl-route-3-200,libnl-route-3-200,libnl-route-3-200,library for dealing with netlink sockets - route interface,,,1,1,,,,Section=libs; Version=3.7.0-2,,,,,,,
libsystemd0,libsystemd0,libsystemd0,systemd utility library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
udev,udev,udev,/dev/ and hotplug management daemon,,,1,1,,,,Section=admin; Version=257.8-1~deb13u1,,,,,,,
libudev1,libudev1,libudev1,libudev shared library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
dmidecode,dmidecode,dmidecode,SMBIOS/DMI table decoder,,,1,1,,,,Section=utils; Version=3.6-2,,,,,,,
ethtool,ethtool,ethtool,display or change Ethernet device settings,,,1,1,,,,Section=net; Version=1:6.14.2-1,,,,,,,
iproute2,iproute2,iproute2,networking and traffic control tools,,,1,1,,,,Section=net; Version=6.15.0-1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
adduser,adduser,adduser,add and remove users and groups,,,1,1,,,,Section=admin; Version=3.152,,,,,,,
ibverbs-providers,ibverbs-providers,ibverbs-providers,User space provider drivers for libibverbs,,,1,1,,,,Section=net; Version=56.1-1,,,,,,,
libcap2,libcap2,libcap2,POSIX 1003.1e capabilities (library),,,1,1,,,,Section=libs; Version=1:2.75-10+b1,,,,,,,
libzstd1,libzstd1,libzstd1,fast lossless compression algorithm,,,1,1,,,,Section=libs; Version=1.5.7+dfsg-1,,,,,,,
,,,,,,,,,,,,rdma-core,ibacm,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,ibacm,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libibumad3,ibacm,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libibverbs1,ibacm,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libnl-3-200,ibacm,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libnl-route-3-200,ibacm,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsystemd0,ibacm,Depends,#333,1,Depends,{}
,,,,,,,,,,,,udev,rdma-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,rdma-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libnl-3-200,rdma-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsystemd0,rdma-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libudev1,rdma-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,dmidecode,rdma-core,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,ethtool,rdma-core,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,iproute2,rdma-core,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libibumad3,Depends,#333,1,Depends,{}
,,,,,,,,,,,,adduser,libibverbs1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libibverbs1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libnl-3-200,libibverbs1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libnl-route-3-200,libibverbs1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,ibverbs-providers,libibverbs1,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libnl-3-200,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libnl-3-200,libnl-route-3-200,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libnl-route-3-200,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libsystemd0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcap2,libsystemd0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libzstd1,libsystemd0,Recommends,#333,1,Recommends,{}
