id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
node-codemirror-autocomplete,node-codemirror-autocomplete,node-codemirror-autocomplete,Autocompletion for the CodeMirror code editor,,,1,1,,,,Section=javascript; Version=6.18.0~6.33.0+~cs119.71.50-2,,,,,,,
node-codemirror-language,node-codemirror-language,node-codemirror-language,Language support infrastructure for the CodeMirror code editor,,,1,1,,,,Section=javascript; Version=6.10.2~6.33.0+~cs119.71.50-2,,,,,,,
node-codemirror-state,node-codemirror-state,node-codemirror-state,Node.js module that implements the editor state for libjs-codemirror,,,1,1,,,,Section=javascript; Version=6.2.0-2,,,,,,,
node-codemirror-view,node-codemirror-view,node-codemirror-view,DOM view component for the CodeMirror code editor,,,1,1,,,,Section=javascript; Version=6.33.0~6.33.0+~cs119.71.50-2,,,,,,,
node-lezer-common,node-lezer-common,node-lezer-common,Common files for all node-lezer-* parsers,,,1,1,,,,Section=javascript; Version=1.2.1~1.4.16+~cs14.25.46-1,,,,,,,
node-lezer-highlight,node-lezer-highlight,node-lezer-highlight,unknown,,,1,1,,,,missing in Packages file,,,,,,,
node-lezer-lr,node-lezer-lr,node-lezer-lr,unknown,,,1,1,,,,missing in Packages file,,,,,,,
node-style-mod,node-style-mod,node-style-mod,Minimal CSS module shim for generating CSS rules and anonymous class names,,,1,1,,,,Section=javascript; Version=4.1.2~6.33.0+~cs119.71.50-2,,,,,,,
node-w3c-keyname,node-w3c-keyname,node-w3c-keyname,Get a KeyboardEvent.key-style string from an event,,,1,1,,,,Section=javascript; Version=2.2.6-2,,,,,,,
,,,,,,,,,,,,node-codemirror-language,node-codemirror-autocomplete,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-codemirror-state,node-codemirror-autocomplete,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-codemirror-view,node-codemirror-autocomplete,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-lezer-common,node-codemirror-autocomplete,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-codemirror-state,node-codemirror-language,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-codemirror-view,node-codemirror-language,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-lezer-common,node-codemirror-language,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-lezer-highlight,node-codemirror-language,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-lezer-lr,node-codemirror-language,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-style-mod,node-codemirror-language,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-codemirror-state,node-codemirror-view,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-style-mod,node-codemirror-view,Depends,#333,1,Depends,{}
,,,,,,,,,,,,node-w3c-keyname,node-codemirror-view,Depends,#333,1,Depends,{}
