id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libmoo-perl,libmoo-perl,libmoo-perl,Minimalist Object Orientation library (with Moose compatibility),,,1,1,,,,Section=perl; Version=2.005005-1,,,,,,,
perl:any,perl:any,perl:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libclass-method-modifiers-perl,libclass-method-modifiers-perl,libclass-method-modifiers-perl,Perl module providing method modifiers,,,1,1,,,,Section=perl; Version=2.15-1,,,,,,,
libclass-xsaccessor-perl,libclass-xsaccessor-perl,libclass-xsaccessor-perl,Perl module providing fast XS accessors,,,1,1,,,,Section=perl; Version=1.19-4+b5,,,,,,,
libimport-into-perl,libimport-into-perl,libimport-into-perl,module for importing packages into other packages,,,1,1,,,,Section=perl; Version=1.002005-2,,,,,,,
librole-tiny-perl,librole-tiny-perl,librole-tiny-perl,Perl module for minimalist role composition,,,1,1,,,,Section=perl; Version=2.002004-1,,,,,,,
libscalar-list-utils-perl,libscalar-list-utils-perl,libscalar-list-utils-perl,modules providing common scalar and list utility subroutines,,,1,1,,,,Section=perl; Version=1:1.63-1+b4,,,,,,,
libsub-quote-perl,libsub-quote-perl,libsub-quote-perl,helper modules for subroutines,,,1,1,,,,Section=perl; Version=2.006008-1,,,,,,,
libnamespace-clean-perl,libnamespace-clean-perl,libnamespace-clean-perl,module for keeping imports and functions out of the current namespace,,,1,1,,,,Section=perl; Version=0.27-2,,,,,,,
perl,perl,perl,Larry Wall's Practical Extraction and Report Language,,,1,1,,,,Section=perl; Version=5.40.1-6,,,,,,,
perlapi-5.40.1,perlapi-5.40.1,perlapi-5.40.1,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libmodule-runtime-perl,libmodule-runtime-perl,libmodule-runtime-perl,Perl module for runtime module handling,,,1,1,,,,Section=perl; Version=0.018-1,,,,,,,
perlapi-5.40.0,perlapi-5.40.0,perlapi-5.40.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libxstring-perl,libxstring-perl,libxstring-perl,module containing isolated string helpers from B,,,1,1,,,,Section=perl; Version=0.005-2+b4,,,,,,,
libb-hooks-endofscope-perl,libb-hooks-endofscope-perl,libb-hooks-endofscope-perl,module for executing code after a scope finished compilation,,,1,1,,,,Section=perl; Version=0.28-2,,,,,,,
libpackage-stash-perl,libpackage-stash-perl,libpackage-stash-perl,module providing routines for manipulating stashes,,,1,1,,,,Section=perl; Version=0.40-1,,,,,,,
libsub-identify-perl,libsub-identify-perl,libsub-identify-perl,module to retrieve names of code references,,,1,1,,,,Section=perl; Version=0.14-3+b3,,,,,,,
libsub-name-perl,libsub-name-perl,libsub-name-perl,module for assigning a new name to referenced sub,,,1,1,,,,Section=perl; Version=0.28-1,,,,,,,
,,,,,,,,,,,,perl:any,libmoo-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libclass-method-modifiers-perl,libmoo-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libclass-xsaccessor-perl,libmoo-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libimport-into-perl,libmoo-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,librole-tiny-perl,libmoo-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libscalar-list-utils-perl,libmoo-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsub-quote-perl,libmoo-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libnamespace-clean-perl,libmoo-perl,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,perl:any,libclass-method-modifiers-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl,libclass-xsaccessor-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perlapi-5.40.1,libclass-xsaccessor-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl,libclass-xsaccessor-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libclass-xsaccessor-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl:any,libimport-into-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libmodule-runtime-perl,libimport-into-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl:any,librole-tiny-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libclass-method-modifiers-perl,librole-tiny-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl,libscalar-list-utils-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perlapi-5.40.0,libscalar-list-utils-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libscalar-list-utils-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl:any,libsub-quote-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libscalar-list-utils-perl,libsub-quote-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxstring-perl,libsub-quote-perl,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libb-hooks-endofscope-perl,libnamespace-clean-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpackage-stash-perl,libnamespace-clean-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsub-identify-perl,libnamespace-clean-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsub-name-perl,libnamespace-clean-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl:any,libnamespace-clean-perl,Depends,#333,1,Depends,{}
