id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"indi-bin","indi-bin","indi-bin","INDI server, drivers and tools","","","1","1","","","","Section=misc; Version=1.9.9+dfsg-3+b5","","","","","","","",""
"libindi-data","libindi-data","libindi-data","Instrument-Neutral Device Interface library -- shared data","","","1","1","","","","Section=misc; Version=1.9.9+dfsg-3","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libcfitsio10t64","libcfitsio10t64","libcfitsio10t64","shared library for I/O with FITS format data files","","","1","1","","","","Section=libs; Version=4.6.2-2","","","","","","","",""
"libcurl3t64-gnutls","libcurl3t64-gnutls","libcurl3t64-gnutls","easy-to-use client-side URL transfer library (GnuTLS flavour)","","","1","1","","","","Section=libs; Version=8.14.1-2","","","","","","","",""
"libev4t64","libev4t64","libev4t64","high-performance event loop library modelled after libevent","","","1","1","","","","Section=libs; Version=1:4.33-2.1+b1","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libindialignmentdriver1","libindialignmentdriver1","libindialignmentdriver1","Instrument-Neutral Device Interface library -- alignment driver lib","","","1","1","","","","Section=libs; Version=1.9.9+dfsg-3+b5","","","","","","","",""
"libindiclient1","libindiclient1","libindiclient1","Instrument-Neutral Device Interface library -- client library","","","1","1","","","","Section=libs; Version=1.9.9+dfsg-3+b5","","","","","","","",""
"libindidriver1","libindidriver1","libindidriver1","Instrument-Neutral Device Interface library -- driver library","","","1","1","","","","Section=libs; Version=1.9.9+dfsg-3+b5","","","","","","","",""
"libnova-0.16-0t64","libnova-0.16-0t64","libnova-0.16-0t64","celestial mechanics, astrometry and astrodynamics library","","","1","1","","","","Section=libs; Version=0.16-5.1+b1","","","","","","","",""
