id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"med-all","med-all","med-all","Default selection of tasks for Debian Med","","","1","1","","","","Section=metapackages; Version=3.9.0","","","","","","","",""
"med-bio","med-bio","med-bio","Debian Med bioinformatics packages","","","1","1","","","","Section=metapackages; Version=3.9.0","","","","","","","",""
"med-bio-dev","med-bio-dev","med-bio-dev","Debian Med packages for development of bioinformatics applications","","","1","1","","","","Section=metapackages; Version=3.9.0","","","","","","","",""
"med-statistics","med-statistics","med-statistics","Debian Med statistics","","","1","1","","","","Section=metapackages; Version=3.9.0","","","","","","","",""
"med-config","med-config","med-config","Debian Med general config package","","","1","1","","","","Section=misc; Version=3.9.0","","","","","","","",""
"med-tasks","med-tasks","med-tasks","Debian Med tasks for tasksel","","","1","1","","","","Section=misc; Version=3.9.0","","","","","","","",""
"abacas","abacas","abacas","close gaps in genomic alignments from short reads","","","1","1","","","","Section=science; Version=1.3.1-9","","","","","","","",""
"abpoa","abpoa","abpoa","adaptive banded Partial Order Alignment","","","1","1","","","","Section=science; Version=1.5.3-1+b4","","","","","","","",""
"abyss","abyss","abyss","de novo, parallel, sequence assembler for short reads","","","1","1","","","","Section=science; Version=2.3.10-1+b1","","","","","","","",""
"adapterremoval","adapterremoval","adapterremoval","rapid adapter trimming, identification, and read merging of gene sequences","","","1","1","","","","Section=science; Version=2.3.4-1","","","","","","","",""
"adun-core","adun-core","adun-core","Molecular Simulator","","","1","1","","","","Section=science; Version=0.81-15+b1","","","","","","","",""
"aegean","aegean","aegean","integrated genome analysis toolkit","","","1","1","","","","Section=science; Version=0.16.0+dfsg-4","","","","","","","",""
"aevol","aevol","aevol","digital genetics model to run Evolution Experiments in silico","","","1","1","","","","Section=science; Version=5.0+ds-4","","","","","","","",""
"alien-hunter","alien-hunter","alien-hunter","Interpolated Variable Order Motifs to identify horizontally acquired DNA","","","1","1","","","","Section=science; Version=1.7-10","","","","","","","",""
"alter-sequence-alignment","alter-sequence-alignment","alter-sequence-alignment","genomic sequences ALignment Transformation EnviRonment","","","1","1","","","","Section=java; Version=1.3.4-8","","","","","","","",""
"altree","altree","altree","program to perform phylogeny-based association and localization analysis","","","1","1","","","","Section=science; Version=1.3.2-2+b4","","","","","","","",""
"amap-align","amap-align","amap-align","Protein multiple alignment by sequence annealing","","","1","1","","","","Section=science; Version=2.2+git20080214.600fc29+dfsg-2","","","","","","","",""
"ampliconnoise","ampliconnoise","ampliconnoise","removal of noise from 454 sequenced PCR amplicons","","","1","1","","","","Section=science; Version=1.29-15+b1","","","","","","","",""
"andi","andi","andi","Efficient Estimation of Evolutionary Distances","","","1","1","","","","Section=science; Version=0.14-3+b1","","","","","","","",""
"any2fasta","any2fasta","any2fasta","convert various sequence formats to FASTA","","","1","1","","","","Section=science; Version=0.4.2-2","","","","","","","",""
"aragorn","aragorn","aragorn","tRNA and tmRNA detection in nucleotide sequences","","","1","1","","","","Section=science; Version=1.2.41-3","","","","","","","",""
"arden","arden","arden","specificity control for read alignments using an artificial reference","","","1","1","","","","Section=science; Version=1.0-6","","","","","","","",""
"ariba","ariba","ariba","Antibiotic Resistance Identification By Assembly","","","1","1","","","","Section=science; Version=2.14.7+ds-7+b1","","","","","","","",""
"art-nextgen-simulation-tools","art-nextgen-simulation-tools","art-nextgen-simulation-tools","simulation tools to generate synthetic next-generation sequencing reads","","","1","1","","","","Section=science; Version=20160605+dfsg-5+b1","","","","","","","",""
"artemis","artemis","artemis","genome browser and annotation tool","","","1","1","","","","Section=science; Version=18.2.0+dfsg-4","","","","","","","",""
"artfastqgenerator","artfastqgenerator","artfastqgenerator","outputs artificial FASTQ files derived from a reference genome","","","1","1","","","","Section=science; Version=0.0.20150519-5","","","","","","","",""
"assembly-stats","assembly-stats","assembly-stats","get assembly statistics from FASTA and FASTQ files","","","1","1","","","","Section=science; Version=1.0.1+ds-6","","","","","","","",""
"assemblytics","assemblytics","assemblytics","detect and analyze structural variants from a genome assembly","","","1","1","","","","Section=science; Version=1.2.1+dfsg-2","","","","","","","",""
"atac","atac","atac","genome assembly-to-assembly comparison","","","1","1","","","","Section=science; Version=0~20150903+r2013-9+b1","","","","","","","",""
"ataqv","ataqv","ataqv","ATAC-seq QC and visualization","","","1","1","","","","Section=science; Version=1.3.1+ds-2+b2","","","","","","","",""
"atropos","atropos","atropos","NGS read trimming tool that is specific, sensitive, and speedy","","","1","1","","","","Section=science; Version=1.1.32+dfsg-2+b2","","","","","","","",""
"augur","augur","augur","pipeline components for real-time virus analysis","","","1","1","","","","Section=science; Version=24.4.0-1","","","","","","","",""
"augustus","augustus","augustus","gene prediction in eukaryotic genomes","","","1","1","","","","Section=science; Version=3.5.0+dfsg-5","","","","","","","",""
"autodock","autodock","autodock","analysis of ligand binding to protein structure","","","1","1","","","","Section=science; Version=4.2.6-9","","","","","","","",""
"autodock-vina","autodock-vina","autodock-vina","docking of small molecules to proteins","","","1","1","","","","Section=science; Version=1.2.7-1","","","","","","","",""
"autogrid","autogrid","autogrid","pre-calculate binding of ligands to their receptor","","","1","1","","","","Section=science; Version=4.2.6-9","","","","","","","",""
"avogadro","avogadro","avogadro","Molecular Graphics and Modelling System","","","1","1","","","","Section=science; Version=1.100.0-2","","","","","","","",""
"axe-demultiplexer","axe-demultiplexer","axe-demultiplexer","Trie-based DNA sequencing read demultiplexer","","","1","1","","","","Section=science; Version=0.3.3+dfsg-4+b1","","","","","","","",""
"baitfisher","baitfisher","baitfisher","software package for designing hybrid enrichment probes","","","1","1","","","","Section=science; Version=1.2.7+git20211020.de26d5c+dfsg-2","","","","","","","",""
"bali-phy","bali-phy","bali-phy","Bayesian Inference of Alignment and Phylogeny","","","1","1","","","","Section=science; Version=4.0-1","","","","","","","",""
"bamclipper","bamclipper","bamclipper","Remove gene-specific primer sequences from SAM/BAM alignments","","","1","1","","","","Section=science; Version=1.0.0-3","","","","","","","",""
"bamkit","bamkit","bamkit","tools for common BAM file manipulations","","","1","1","","","","Section=science; Version=0.0.1+git20170413.ccd079d-3","","","","","","","",""
"bamtools","bamtools","bamtools","toolkit for manipulating BAM (genome alignment) files","","","1","1","","","","Section=science; Version=2.5.2+dfsg-6+b1","","","","","","","",""
"bandage","bandage","bandage","Bioinformatics Application for Navigating De novo Assembly Graphs Easily","","","1","1","","","","Section=science; Version=0.9.0-2+b1","","","","","","","",""
"barrnap","barrnap","barrnap","rapid ribosomal RNA prediction","","","1","1","","","","Section=science; Version=0.9+dfsg-4","","","","","","","",""
"bbmap","bbmap","bbmap","BBTools genomic aligner and other tools for short sequences","","","1","1","","","","Section=science; Version=39.20+dfsg-2","","","","","","","",""
"bcalm","bcalm","bcalm","de Bruijn compaction in low memory","","","1","1","","","","Section=science; Version=2.2.3-5+b3","","","","","","","",""
"bcftools","bcftools","bcftools","genomic variant calling and manipulation of VCF/BCF files","","","1","1","","","","Section=science; Version=1.21-1","","","","","","","",""
"beads","beads","beads","2-DE electrophoresis gel image spot detection","","","1","1","","","","Section=science; Version=1.1.22-1+b3","","","","","","","",""
"beagle","beagle","beagle","Genotype calling, genotype phasing and imputation of ungenotyped markers","","","1","1","","","","Section=science; Version=241217-3","","","","","","","",""
"beast-mcmc","beast-mcmc","beast-mcmc","Bayesian MCMC phylogenetic inference","","","1","1","","","","Section=science; Version=1.10.4+dfsg-7","","","","","","","",""
"beast2-mcmc","beast2-mcmc","beast2-mcmc","Bayesian MCMC phylogenetic inference","","","1","1","","","","Section=science; Version=2.7.6+dfsg-1","","","","","","","",""
"bedops","bedops","bedops","high-performance genomic feature operations","","","1","1","","","","Section=science; Version=2.4.41+dfsg-3","","","","","","","",""
"bedtools","bedtools","bedtools","suite of utilities for comparing genomic features","","","1","1","","","","Section=science; Version=2.31.1+dfsg-2","","","","","","","",""
"belvu","belvu","belvu","multiple sequence alignment viewer and phylogenetic tool","","","1","1","","","","Section=science; Version=4.44.1+dfsg-7.1+b3","","","","","","","",""
