id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
kmod,kmod,kmod,tools for managing Linux kernel modules,,,1,1,,,,Section=admin; Version=34.2-2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libssl3t64,libssl3t64,libssl3t64,Secure Sockets Layer toolkit - shared libraries,,,1,1,,,,Section=libs; Version=3.5.1-1,,,,,,,
libkmod2,libkmod2,libkmod2,libkmod shared library,,,1,1,,,,Section=libs; Version=34.2-2,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libzstd1,libzstd1,libzstd1,fast lossless compression algorithm,,,1,1,,,,Section=libs; Version=1.5.7+dfsg-1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
openssl-provider-legacy,openssl-provider-legacy,openssl-provider-legacy,Secure Sockets Layer toolkit - cryptographic utility,,,1,1,,,,Section=utils; Version=3.5.1-1,,,,,,,
,,,,,,,,,,,,libc6,kmod,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libssl3t64,kmod,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libkmod2,kmod,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libssl3t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libzstd1,libssl3t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libssl3t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,openssl-provider-legacy,libssl3t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libkmod2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libssl3t64,libkmod2,Depends,#333,1,Depends,{}
