id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"junior-art","junior-art","junior-art","Debian Jr. Art","","","1","1","","","","Section=metapackages; Version=1.32","","","","","",""
"junior-config","junior-config","junior-config","Debian Jr. Project common package","","","1","1","","","","Section=misc; Version=1.32","","","","","",""
"junior-tasks","junior-tasks","junior-tasks","Debian Jr. tasks for tasksel","","","1","1","","","","Section=misc; Version=1.32","","","","","",""
"cheese","cheese","cheese","tool to take pictures and videos from your webcam","","","1","1","","","","Section=gnome; Version=44.1-5","","","","","",""
"gamine","gamine","gamine","Interactive game for young children","","","1","1","","","","Section=games; Version=1.6-2","","","","","",""
"gcompris-qt","gcompris-qt","gcompris-qt","educational games for small children","","","1","1","","","","Section=education; Version=25.0.12-1","","","","","",""
"gimp","gimp","gimp","GNU Image Manipulation Program","","","1","1","","","","Section=graphics; Version=3.0.4-3","","","","","",""
"inkscape","inkscape","inkscape","vector-based drawing program","","","1","1","","","","Section=graphics; Version=1.4-6","","","","","",""
"karbon","karbon","karbon","vector graphics application for the Calligra Suite","","","1","1","","","","Section=graphics; Version=1:25.04.2+dfsg-1","","","","","",""
"krita","krita","krita","pixel-based image manipulation program","","","1","1","","","","Section=graphics; Version=1:5.2.9+dfsg-1+b1","","","","","",""
"mtpaint","mtpaint","mtpaint","painting program to create pixel art and manipulate digital photos","","","1","1","","","","Section=graphics; Version=3.50.11-1","","","","","",""
"mypaint","mypaint","mypaint","paint program for use with graphics tablets","","","1","1","","","","Section=graphics; Version=2.0.1-12","","","","","",""
"pencil2d","pencil2d","pencil2d","Create hand-drawn animation using both bitmap and vector graphics","","","1","1","","","","Section=graphics; Version=0.7.0-1","","","","","",""
"pysiogame","pysiogame","pysiogame","educational activity pack for kids","","","1","1","","","","Section=games; Version=4.20.01-3","","","","","",""
"rgbpaint","rgbpaint","rgbpaint","simple pixel-based painting program","","","1","1","","","","Section=graphics; Version=0.8.7-7","","","","","",""
"simple-scan","simple-scan","simple-scan","Simple Scanning Utility","","","1","1","","","","Section=gnome; Version=46.0-2","","","","","",""
"tupi","tupi","tupi","2D Animation design and authoring tool","","","1","1","","","","Section=graphics; Version=0.2+git08-6","","","","","",""
"tuxpaint","tuxpaint","tuxpaint","Paint program for young children","","","1","1","","","","Section=graphics; Version=1:0.9.34-2+b1","","","","","",""
"xpaint","xpaint","xpaint","simple paint program for X","","","1","1","","","","Section=graphics; Version=2.9.1.4-5","","","","","",""
"adduser","adduser","adduser","add and remove users and groups","","","1","1","","","","Section=admin; Version=3.152","","","","","",""
"debconf","debconf","debconf","Debian configuration management system","","","1","1","","","","Section=admin; Version=1.5.91","","","","","",""
"menu","menu","menu","generates programs menu for all menu-aware applications","","","1","1","","","","Section=admin; Version=2.1.51","","","","","",""
"blends-common","blends-common","blends-common","Debian Pure Blends common package","","","1","1","","","","Section=misc; Version=0.7.10","","","","","",""
"tasksel","tasksel","tasksel","tool for selecting tasks for installation on Debian systems","","","1","1","","","","Section=admin; Version=3.81","","","","","",""
"cheese-common","cheese-common","cheese-common","Common files for the Cheese tool to take pictures and videos","","","1","1","","","","Section=gnome; Version=44.1-5","","","","","",""
"gnome-video-effects","gnome-video-effects","gnome-video-effects","Collection of GStreamer effects","","","1","1","","","","Section=gnome; Version=0.6.0-3","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libcanberra-gtk3-0","libcanberra-gtk3-0","libcanberra-gtk3-0","GTK+ 3.0 helper for playing widget event sounds with libcanberra","","","1","1","","","","Section=libs; Version=0.30-18","","","","","",""
"libcheese-gtk25","libcheese-gtk25","libcheese-gtk25","tool to take pictures and videos from your webcam - widgets","","","1","1","","","","Section=libs; Version=44.1-5","","","","","",""
"libcheese8","libcheese8","libcheese8","tool to take pictures and videos from your webcam - base library","","","1","1","","","","Section=libs; Version=44.1-5","","","","","",""
"libclutter-1.0-0","libclutter-1.0-0","libclutter-1.0-0","Open GL based interactive canvas library","","","1","1","","","","Section=oldlibs; Version=1.26.4+git2779b932+dfsg-7+b2","","","","","",""
"libclutter-gtk-1.0-0","libclutter-gtk-1.0-0","libclutter-gtk-1.0-0","Open GL based interactive canvas library GTK+ widget","","","1","1","","","","Section=oldlibs; Version=1.8.4-6","","","","","",""
