id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
fence-agents,fence-agents,fence-agents,Fence Agents for Red Hat Cluster - transitional package,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-all,fence-agents-all,fence-agents-all,Fence Agents for Red Hat Cluster - all agents,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-ack-manual,fence-agents-ack-manual,fence-agents-ack-manual,Fence Agents for Red Hat Cluster - manual ack agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-aliyun,fence-agents-aliyun,fence-agents-aliyun,Fence Agents for Red Hat Cluster - Aliyun agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-alom,fence-agents-alom,fence-agents-alom,Fence Agents for Red Hat Cluster - Sun ALOM agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-amt,fence-agents-amt,fence-agents-amt,Fence Agents for Red Hat Cluster - Intel AMT agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-apc,fence-agents-apc,fence-agents-apc,Fence Agents for Red Hat Cluster - APC over telnet/ssh agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-apc-snmp,fence-agents-apc-snmp,fence-agents-apc-snmp,Fence Agents for Red Hat Cluster - APC over SNMP agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-aws,fence-agents-aws,fence-agents-aws,Fence Agents for Red Hat Cluster - AWS agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-azure-arm,fence-agents-azure-arm,fence-agents-azure-arm,Fence Agents for Red Hat Cluster - Azure ARM agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-bladecenter,fence-agents-bladecenter,fence-agents-bladecenter,Fence Agents for Red Hat Cluster - IBM BladeCenter telnet agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-brocade,fence-agents-brocade,fence-agents-brocade,Fence Agents for Red Hat Cluster - HP Brocade agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-cdu,fence-agents-cdu,fence-agents-cdu,Fence Agents for Red Hat Cluster - Sentry Switch CDU agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-cisco-mds,fence-agents-cisco-mds,fence-agents-cisco-mds,Fence Agents for Red Hat Cluster - Cisco MDS agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-cisco-ucs,fence-agents-cisco-ucs,fence-agents-cisco-ucs,Fence Agents for Red Hat Cluster - Cisco UCS agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-compute,fence-agents-compute,fence-agents-compute,Fence Agents for Red Hat Cluster - OpenStack Compute agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-crosslink,fence-agents-crosslink,fence-agents-crosslink,Fence Agents for Red Hat Cluster - crosslink cable agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-cyberpower-ssh,fence-agents-cyberpower-ssh,fence-agents-cyberpower-ssh,Fence Agents for Red Hat Cluster - CyberPower agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-docker,fence-agents-docker,fence-agents-docker,Fence Agents for Red Hat Cluster - Docker agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-drac,fence-agents-drac,fence-agents-drac,Fence Agents for Red Hat Cluster - Dell DRAC 4 agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-drac5,fence-agents-drac5,fence-agents-drac5,Fence Agents for Red Hat Cluster - Dell DRAC 5 agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
fence-agents-dummy,fence-agents-dummy,fence-agents-dummy,Fence Agents for Red Hat Cluster - dummy agent,,,1,1,,,,Section=admin; Version=4.16.0-3,,,,,,,
