id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"libvorbis-dev","libvorbis-dev","libvorbis-dev","development files for Vorbis General Audio Compression Codec","","","1","1","","","","Section=libdevel; Version=1.3.7-3","","","","","",""
"libogg-dev","libogg-dev","libogg-dev","Ogg bitstream library development files","","","1","1","","","","Section=libdevel; Version=1.3.5-3+b2","","","","","",""
"libvorbis0a","libvorbis0a","libvorbis0a","decoder library for Vorbis General Audio Compression Codec","","","1","1","","","","Section=libs; Version=1.3.7-3","","","","","",""
"libvorbisenc2","libvorbisenc2","libvorbisenc2","encoder library for Vorbis General Audio Compression Codec","","","1","1","","","","Section=libs; Version=1.3.7-3","","","","","",""
"libvorbisfile3","libvorbisfile3","libvorbisfile3","high-level API for Vorbis General Audio Compression Codec","","","1","1","","","","Section=libs; Version=1.3.7-3","","","","","",""
"libogg0","libogg0","libogg0","Ogg bitstream library","","","1","1","","","","Section=libs; Version=1.3.5-3+b2","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"","","","","","","","","","","","","libvorbis-dev","libogg-dev","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libvorbis-dev","libvorbis0a","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libvorbis-dev","libvorbisenc2","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libvorbis-dev","libvorbisfile3","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libogg-dev","libogg0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libvorbis0a","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libvorbis0a","libogg0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libvorbisenc2","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libvorbisenc2","libvorbis0a","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libvorbisfile3","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libvorbisfile3","libogg0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libvorbisfile3","libvorbis0a","Depends","#333","1","Depends","{}"
