id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
gstreamer1.0-pipewire,gstreamer1.0-pipewire,gstreamer1.0-pipewire,GStreamer 1.0 plugin for the PipeWire multimedia server,,,1,1,,,,Section=libs; Version=1.4.2-1,,,,,,,
pipewire,pipewire,pipewire,audio and video processing engine multimedia server,,,1,1,,,,Section=net; Version=1.4.2-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
libgstreamer-plugins-base1.0-0,libgstreamer-plugins-base1.0-0,libgstreamer-plugins-base1.0-0,"GStreamer libraries from the ""base"" set",,,1,1,,,,Section=libs; Version=1.26.2-1,,,,,,,
libgstreamer1.0-0,libgstreamer1.0-0,libgstreamer1.0-0,Core GStreamer libraries and elements,,,1,1,,,,Section=libs; Version=1.26.2-2,,,,,,,
libpipewire-0.3-0t64,libpipewire-0.3-0t64,libpipewire-0.3-0t64,libraries for the PipeWire multimedia server,,,1,1,,,,Section=libs; Version=1.4.2-1,,,,,,,
adduser,adduser,adduser,add and remove users and groups,,,1,1,,,,Section=admin; Version=3.152,,,,,,,
libpipewire-0.3-modules,libpipewire-0.3-modules,libpipewire-0.3-modules,libraries for the PipeWire multimedia server - modules,,,1,1,,,,Section=libs; Version=1.4.2-1,,,,,,,
pipewire-bin,pipewire-bin,pipewire-bin,PipeWire multimedia server - programs,,,1,1,,,,Section=video; Version=1.4.2-1,,,,,,,
init-system-helpers,init-system-helpers,init-system-helpers,helper tools for all init systems,,,1,1,,,,Section=admin; Version=1.69~deb13u1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libatomic1,libatomic1,libatomic1,support library providing __atomic built-in functions,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libffi8,libffi8,libffi8,Foreign Function Interface library runtime,,,1,1,,,,Section=libs; Version=3.4.8-2,,,,,,,
libmount1,libmount1,libmount1,device mounting library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libpcre2-8-0,libpcre2-8-0,libpcre2-8-0,New Perl Compatible Regular Expression Library- 8 bit runtime files,,,1,1,,,,Section=libs; Version=10.46-1~deb13u1,,,,,,,
libselinux1,libselinux1,libselinux1,SELinux runtime shared libraries,,,1,1,,,,Section=libs; Version=3.8.1-1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libglib2.0-data,libglib2.0-data,libglib2.0-data,Common files for GLib library,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
shared-mime-info,shared-mime-info,shared-mime-info,FreeDesktop.org shared MIME database and spec,,,1,1,,,,Section=misc; Version=2.4-5+b2,,,,,,,
xdg-user-dirs,xdg-user-dirs,xdg-user-dirs,tool to manage well known user directories,,,1,1,,,,Section=utils; Version=0.18-2,,,,,,,
libdrm2,libdrm2,libdrm2,Userspace interface to kernel DRM services -- runtime,,,1,1,,,,Section=libs; Version=2.4.124-2,,,,,,,
liborc-0.4-0t64,liborc-0.4-0t64,liborc-0.4-0t64,Library of Optimized Inner Loops Runtime Compiler,,,1,1,,,,Section=libs; Version=1:0.4.41-1,,,,,,,
iso-codes,iso-codes,iso-codes,"ISO language, territory, currency, script codes and their translations",,,1,1,,,,Section=misc; Version=4.18.0-1,,,,,,,
gstreamer1.0-plugins-base,gstreamer1.0-plugins-base,gstreamer1.0-plugins-base,"GStreamer plugins from the ""base"" set",,,1,1,,,,Section=libs; Version=1.26.2-1,,,,,,,
libcap2,libcap2,libcap2,POSIX 1003.1e capabilities (library),,,1,1,,,,Section=libs; Version=1:2.75-10+b1,,,,,,,
libcap2-bin,libcap2-bin,libcap2-bin,POSIX 1003.1e capabilities (utilities),,,1,1,,,,Section=utils; Version=1:2.75-10+b1,,,,,,,
libspa-0.2-modules,libspa-0.2-modules,libspa-0.2-modules,libraries for the PipeWire multimedia server Simple Plugin API - modules,,,1,1,,,,Section=libs; Version=1.4.2-1,,,,,,,
libpipewire-0.3-common,libpipewire-0.3-common,libpipewire-0.3-common,libraries for the PipeWire multimedia server - common files,,,1,1,,,,Section=libs; Version=1.4.2-1,,,,,,,
,,,,,,,,,,,,pipewire,gstreamer1.0-pipewire,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,gstreamer1.0-pipewire,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,gstreamer1.0-pipewire,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgstreamer-plugins-base1.0-0,gstreamer1.0-pipewire,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgstreamer1.0-0,gstreamer1.0-pipewire,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpipewire-0.3-0t64,gstreamer1.0-pipewire,Depends,#333,1,Depends,{}
,,,,,,,,,,,,adduser,pipewire,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpipewire-0.3-modules,pipewire,Depends,#333,1,Depends,{}
,,,,,,,,,,,,pipewire-bin,pipewire,Depends,#333,1,Depends,{}
,,,,,,,,,,,,init-system-helpers,pipewire,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libatomic1,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libffi8,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libmount1,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpcre2-8-0,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libselinux1,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libglib2.0-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-data,libglib2.0-0t64,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,shared-mime-info,libglib2.0-0t64,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,xdg-user-dirs,libglib2.0-0t64,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libgstreamer-plugins-base1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libdrm2,libgstreamer-plugins-base1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,libgstreamer-plugins-base1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgstreamer1.0-0,libgstreamer-plugins-base1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,liborc-0.4-0t64,libgstreamer-plugins-base1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libgstreamer-plugins-base1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,iso-codes,libgstreamer-plugins-base1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,gstreamer1.0-plugins-base,libgstreamer-plugins-base1.0-0,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libgstreamer1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcap2,libgstreamer1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libgstreamer1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,libgstreamer1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcap2-bin,libgstreamer1.0-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libspa-0.2-modules,libpipewire-0.3-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libpipewire-0.3-0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpipewire-0.3-common,libpipewire-0.3-0t64,Recommends,#333,1,Recommends,{}
