id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libxen-dev,libxen-dev,libxen-dev,Public headers and libs for Xen,,,1,1,,,,Section=libdevel; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libxenmisc4.20,libxenmisc4.20,libxenmisc4.20,"Xen runtime libraries - miscellaneous, versioned ABI",,,1,1,,,,Section=libs; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libxencall1,libxencall1,libxencall1,Xen runtime library - libxencall,,,1,1,,,,Section=libs; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libxendevicemodel1,libxendevicemodel1,libxendevicemodel1,Xen runtime libraries - libxendevicemodel,,,1,1,,,,Section=libs; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libxenevtchn1,libxenevtchn1,libxenevtchn1,Xen runtime libraries - libxenevtchn,,,1,1,,,,Section=libs; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libxenforeignmemory1,libxenforeignmemory1,libxenforeignmemory1,Xen runtime libraries - libxenforeignmemory,,,1,1,,,,Section=libs; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libxengnttab1,libxengnttab1,libxengnttab1,Xen runtime libraries - libxengnttab,,,1,1,,,,Section=libs; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libxenstore4,libxenstore4,libxenstore4,Xen runtime libraries - libxenstore,,,1,1,,,,Section=libs; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libxentoolcore1,libxentoolcore1,libxentoolcore1,Xen runtime libraries - libxentoolcore,,,1,1,,,,Section=libs; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libxentoollog1,libxentoollog1,libxentoollog1,Xen runtime libraries - libxentoollog,,,1,1,,,,Section=libs; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libxenhypfs1,libxenhypfs1,libxenhypfs1,Xen runtime library - libxenhypfs,,,1,1,,,,Section=libs; Version=4.20.0+68-g35cb38b222-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libext2fs2t64,libext2fs2t64,libext2fs2t64,ext2/ext3/ext4 file system libraries,,,1,1,,,,Section=libs; Version=1.47.2-3+b3,,,,,,,
liblzma5,liblzma5,liblzma5,XZ-format compression library,,,1,1,,,,Section=libs; Version=5.8.1-1,,,,,,,
libuuid1,libuuid1,libuuid1,Universally Unique ID library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libyajl2,libyajl2,libyajl2,Yet Another JSON Library,,,1,1,,,,Section=libs; Version=2.1.0-5+b2,,,,,,,
libzstd1,libzstd1,libzstd1,fast lossless compression algorithm,,,1,1,,,,Section=libs; Version=1.5.7+dfsg-1,,,,,,,
