id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libghc-primitive-dev","libghc-primitive-dev","libghc-primitive-dev","Wrappers for primitive operations","","","1","1","","","","Section=haskell; Version=0.8.0.0-2+b1","","","","","","","",""
"libghc-base-dev-4.18.2.1-8e81e","libghc-base-dev-4.18.2.1-8e81e","libghc-base-dev-4.18.2.1-8e81e","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-deepseq-dev-1.4.8.1-9013f","libghc-deepseq-dev-1.4.8.1-9013f","libghc-deepseq-dev-1.4.8.1-9013f","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-template-haskell-dev-2.20.0.0-54f98","libghc-template-haskell-dev-2.20.0.0-54f98","libghc-template-haskell-dev-2.20.0.0-54f98","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libghc-transformers-dev-0.6.1.0-5335d","libghc-transformers-dev-0.6.1.0-5335d","libghc-transformers-dev-0.6.1.0-5335d","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgmp10","libgmp10","libgmp10","Multiprecision arithmetic library","","","1","1","","","","Section=libs; Version=2:6.3.0+dfsg-3","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"","","","","","","","","","","","","libghc-primitive-dev","libghc-base-dev-4.18.2.1-8e81e","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-primitive-dev","libghc-deepseq-dev-1.4.8.1-9013f","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-primitive-dev","libghc-template-haskell-dev-2.20.0.0-54f98","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-primitive-dev","libghc-transformers-dev-0.6.1.0-5335d","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-primitive-dev","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libghc-primitive-dev","libgmp10","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libgmp10","libc6","Depends","#333","1","Depends","arrow","{}"
