id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libxss-dev,libxss-dev,libxss-dev,X11 Screen Saver extension library (development headers),,,1,1,,,,Section=libdevel; Version=1:1.2.3-1+b3,,,,,,,
libxss1,libxss1,libxss1,X11 Screen Saver extension library,,,1,1,,,,Section=libs; Version=1:1.2.3-1+b3,,,,,,,
libx11-dev,libx11-dev,libx11-dev,X11 client-side library (development headers),,,1,1,,,,Section=libdevel; Version=2:1.8.12-1,,,,,,,
libxext-dev,libxext-dev,libxext-dev,X11 miscellaneous extensions library (development headers),,,1,1,,,,Section=libdevel; Version=2:1.3.4-1+b3,,,,,,,
x11proto-scrnsaver-dev,x11proto-scrnsaver-dev,x11proto-scrnsaver-dev,transitional dummy package,,,1,1,,,,Section=x11; Version=2024.1-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libx11-6,libx11-6,libx11-6,X11 client-side library,,,1,1,,,,Section=libs; Version=2:1.8.12-1,,,,,,,
libxext6,libxext6,libxext6,X11 miscellaneous extension library,,,1,1,,,,Section=libs; Version=2:1.3.4-1+b3,,,,,,,
x11-common,x11-common,x11-common,X Window System (X.Org) infrastructure,,,1,1,,,,Section=x11; Version=1:7.7+24,,,,,,,
libxau-dev,libxau-dev,libxau-dev,X11 authorisation library (development headers),,,1,1,,,,Section=libdevel; Version=1:1.0.11-1,,,,,,,
libxdmcp-dev,libxdmcp-dev,libxdmcp-dev,X11 authorisation library (development headers),,,1,1,,,,Section=libdevel; Version=1:1.1.5-1,,,,,,,
x11proto-dev,x11proto-dev,x11proto-dev,X11 extension protocols and auxiliary headers,,,1,1,,,,Section=x11; Version=2024.1-1,,,,,,,
xtrans-dev,xtrans-dev,xtrans-dev,X transport library (development files),,,1,1,,,,Section=x11; Version=1.4.0-1,,,,,,,
libxcb1-dev,libxcb1-dev,libxcb1-dev,"X C Binding, development files",,,1,1,,,,Section=libdevel; Version=1.17.0-2+b1,,,,,,,
,,,,,,,,,,,,libxss1,libxss-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-dev,libxss-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxext-dev,libxss-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,x11proto-scrnsaver-dev,libxss-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libxss1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-6,libxss1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxext6,libxss1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,x11-common,libxss1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-6,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxau-dev,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxdmcp-dev,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,x11proto-dev,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,xtrans-dev,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxcb1-dev,libx11-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxext6,libxext-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,x11proto-dev,libxext-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-dev,libxext-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,x11proto-dev,x11proto-scrnsaver-dev,Depends,#333,1,Depends,{}
