id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"binutils","binutils","binutils","GNU assembler, linker and binary utilities","","","1","1","","","","Section=devel; Version=2.44-3","","","","","","","",""
"libbinutils","libbinutils","libbinutils","GNU binary utilities (private shared library)","","","1","1","","","","Section=devel; Version=2.44-3","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libgprofng0","libgprofng0","libgprofng0","GNU Next Generation profiler (runtime library)","","","1","1","","","","Section=devel; Version=2.44-3","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"binutils-common","binutils-common","binutils-common","Common files for the GNU assembler, linker and binary utilities","","","1","1","","","","Section=devel; Version=2.44-3","","","","","","","",""
"binutils-x86-64-linux-gnu","binutils-x86-64-linux-gnu","binutils-x86-64-linux-gnu","GNU binary utilities, for x86-64-linux-gnu target","","","1","1","","","","Section=devel; Version=2.44-3","","","","","","","",""
"libsframe1","libsframe1","libsframe1","Library to handle the SFrame format (runtime library)","","","1","1","","","","Section=devel; Version=2.44-3","","","","","","","",""
"libzstd1","libzstd1","libzstd1","fast lossless compression algorithm","","","1","1","","","","Section=libs; Version=1.5.7+dfsg-1","","","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"gcc-14-base","gcc-14-base","gcc-14-base","GCC, the GNU Compiler Collection (base package)","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libctf-nobfd0","libctf-nobfd0","libctf-nobfd0","Compact C Type Format library (runtime, no BFD dependency)","","","1","1","","","","Section=devel; Version=2.44-3","","","","","","","",""
"libctf0","libctf0","libctf0","Compact C Type Format library (runtime, BFD dependency)","","","1","1","","","","Section=devel; Version=2.44-3","","","","","","","",""
"libjansson4","libjansson4","libjansson4","C library for encoding, decoding and manipulating JSON data","","","1","1","","","","Section=libs; Version=2.14-2+b3","","","","","","","",""
"","","","","","","","","","","","","binutils","libbinutils","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","binutils","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","binutils","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","binutils","libgprofng0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","binutils","libstdc++6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","binutils","binutils-common","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","binutils","binutils-x86-64-linux-gnu","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libbinutils","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libbinutils","libsframe1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libbinutils","libzstd1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libbinutils","zlib1g","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libbinutils","binutils-common","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libgcc-s1","gcc-14-base","Depends","#333","1","Depends","arrow","{}"
