id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
gir1.2-gtk-4.0,gir1.2-gtk-4.0,gir1.2-gtk-4.0,GTK graphical user interface library -- gir bindings,,,1,1,,,,Section=introspection; Version=4.18.6+ds-2,,,,,,,
gir1.2-cairo-1.0,gir1.2-cairo-1.0,gir1.2-cairo-1.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-gdkpixbuf-2.0,gir1.2-gdkpixbuf-2.0,gir1.2-gdkpixbuf-2.0,GDK Pixbuf library - GObject-Introspection,,,1,1,,,,Section=introspection; Version=2.42.12+dfsg-4,,,,,,,
gir1.2-gio-2.0,gir1.2-gio-2.0,gir1.2-gio-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-graphene-1.0,gir1.2-graphene-1.0,gir1.2-graphene-1.0,library of graphic data types (introspection files),,,1,1,,,,Section=introspection; Version=1.10.8-5,,,,,,,
gir1.2-pango-1.0,gir1.2-pango-1.0,gir1.2-pango-1.0,Layout and rendering of internationalized text - gir bindings,,,1,1,,,,Section=introspection; Version=1.56.3-1,,,,,,,
gir1.2-pangocairo-1.0,gir1.2-pangocairo-1.0,gir1.2-pangocairo-1.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-xlib-2.0,gir1.2-xlib-2.0,gir1.2-xlib-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libgtk-4-1,libgtk-4-1,libgtk-4-1,GTK graphical user interface library,,,1,1,,,,Section=libs; Version=4.18.6+ds-2,,,,,,,
libgtk-4-common,libgtk-4-common,libgtk-4-common,common files for the GTK graphical user interface library,,,1,1,,,,Section=misc; Version=4.18.6+ds-2,,,,,,,
gir1.2-gmodule-2.0,gir1.2-gmodule-2.0,gir1.2-gmodule-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libgdk-pixbuf-2.0-0,libgdk-pixbuf-2.0-0,libgdk-pixbuf-2.0-0,GDK Pixbuf library,,,1,1,,,,Section=libs; Version=2.42.12+dfsg-4,,,,,,,
gir1.2-gobject-2.0,gir1.2-gobject-2.0,gir1.2-gobject-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libgraphene-1.0-0,libgraphene-1.0-0,libgraphene-1.0-0,library of graphic data types,,,1,1,,,,Section=libs; Version=1.10.8-5,,,,,,,
gir1.2-fontconfig-2.0,gir1.2-fontconfig-2.0,gir1.2-fontconfig-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-freetype2-2.0,gir1.2-freetype2-2.0,gir1.2-freetype2-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
