id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"neovim","neovim","neovim","heavily refactored vim fork","","","1","1","","","","Section=editors; Version=0.10.4-8","","","","","","","",""
"neovim-runtime","neovim-runtime","neovim-runtime","heavily refactored vim fork (runtime files)","","","1","1","","","","Section=editors; Version=0.10.4-8","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libluajit-5.1-2","libluajit-5.1-2","libluajit-5.1-2","OpenResty-maintained branch of LuaJIT (shared objects)","","","1","1","","","","Section=libs; Version=2.1.0+openresty20250117-2","","","","","","","",""
"libmsgpack-c2","libmsgpack-c2","libmsgpack-c2","binary-based efficient object serialization library","","","1","1","","","","Section=libs; Version=6.0.1-3+b1","","","","","","","",""
"libtree-sitter0.22","libtree-sitter0.22","libtree-sitter0.22","incremental parsing system for programming tools","","","1","1","","","","Section=libs; Version=0.22.6-6+b1","","","","","","","",""
"libunibilium4","libunibilium4","libunibilium4","simple, self-contained terminfo library","","","1","1","","","","Section=libs; Version=2.1.1-2+b1","","","","","","","",""
"libuv1t64","libuv1t64","libuv1t64","asynchronous event notification library - runtime library","","","1","1","","","","Section=libs; Version=1.50.0-2","","","","","","","",""
"libvterm0","libvterm0","libvterm0","abstract terminal library","","","1","1","","","","Section=libs; Version=0.3.3-3+b1","","","","","","","",""
"lua-lpeg","lua-lpeg","lua-lpeg","LPeg library for the Lua language","","","1","1","","","","Section=interpreters; Version=1.1.0-2","","","","","","","",""
"lua-luv","lua-luv","lua-luv","libuv bindings for Lua","","","1","1","","","","Section=interpreters; Version=1.48.0-2-3","","","","","","","",""
"python3-pynvim","python3-pynvim","python3-pynvim","Python3 library for scripting Neovim processes through its msgpack-rpc API","","","1","1","","","","Section=python; Version=0.5.2-2","","","","","","","",""
"xclip","xclip","xclip","command line interface to X selections","","","1","1","","","","Section=x11; Version=0.13-4","","","","","","","",""
"xxd","xxd","xxd","tool to make (or reverse) a hex dump","","","1","1","","","","Section=editors; Version=2:9.1.1230-2","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
