id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"bind9","bind9","bind9","Internet Domain Name Server","","","1","1","","","","Section=net; Version=1:9.20.11-4","","","","","",""
"adduser","adduser","adduser","add and remove users and groups","","","1","1","","","","Section=admin; Version=3.152","","","","","",""
"bind9-libs","bind9-libs","bind9-libs","Shared Libraries used by BIND 9","","","1","1","","","","Section=libs; Version=1:9.20.11-4","","","","","",""
"bind9-utils","bind9-utils","bind9-utils","Utilities for BIND 9","","","1","1","","","","Section=net; Version=1:9.20.11-4","","","","","",""
"debconf","debconf","debconf","Debian configuration management system","","","1","1","","","","Section=admin; Version=1.5.91","","","","","",""
"dns-root-data","dns-root-data","dns-root-data","DNS root hints and DNSSEC trust anchor","","","1","1","","","","Section=misc; Version=2024071801","","","","","",""
"iproute2","iproute2","iproute2","networking and traffic control tools","","","1","1","","","","Section=net; Version=6.15.0-1","","","","","",""
"netbase","netbase","netbase","Basic TCP/IP networking system","","","1","1","","","","Section=admin; Version=6.5","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libcap2","libcap2","libcap2","POSIX 1003.1e capabilities (library)","","","1","1","","","","Section=libs; Version=1:2.75-10+b1","","","","","",""
"libfstrm0","libfstrm0","libfstrm0","Frame Streams (fstrm) library","","","1","1","","","","Section=libs; Version=0.6.1-1+b3","","","","","",""
"libjemalloc2","libjemalloc2","libjemalloc2","general-purpose scalable concurrent malloc(3) implementation","","","1","1","","","","Section=libs; Version=5.3.0-3","","","","","",""
"libjson-c5","libjson-c5","libjson-c5","JSON manipulation library - shared library","","","1","1","","","","Section=libs; Version=0.18+ds-1","","","","","",""
"liblmdb0","liblmdb0","liblmdb0","Lightning Memory-Mapped Database shared library","","","1","1","","","","Section=libs; Version=0.9.31-1+b2","","","","","",""
"libmaxminddb0","libmaxminddb0","libmaxminddb0","IP geolocation database library","","","1","1","","","","Section=libs; Version=1.12.2-1","","","","","",""
"libnghttp2-14","libnghttp2-14","libnghttp2-14","library implementing HTTP/2 protocol (shared library)","","","1","1","","","","Section=libs; Version=1.64.0-1.1","","","","","",""
"libprotobuf-c1","libprotobuf-c1","libprotobuf-c1","Protocol Buffers C shared library (protobuf-c)","","","1","1","","","","Section=libs; Version=1.5.1-1","","","","","",""
"libssl3t64","libssl3t64","libssl3t64","Secure Sockets Layer toolkit - shared libraries","","","1","1","","","","Section=libs; Version=3.5.1-1","","","","","",""
"libuv1t64","libuv1t64","libuv1t64","asynchronous event notification library - runtime library","","","1","1","","","","Section=libs; Version=1.50.0-2","","","","","",""
"libxml2","libxml2","libxml2","GNOME XML library","","","1","1","","","","Section=libs; Version=2.12.7+dfsg+really2.9.14-2.1+deb13u1","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","",""
"passwd","passwd","passwd","change and administer password and group data","","","1","1","","","","Section=admin; Version=1:4.17.4-2","","","","","",""
"libgssapi-krb5-2","libgssapi-krb5-2","libgssapi-krb5-2","MIT Kerberos runtime libraries - krb5 GSS-API Mechanism","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","",""
"libkrb5-3","libkrb5-3","libkrb5-3","MIT Kerberos runtime libraries","","","1","1","","","","Section=libs; Version=1.21.3-5","","","","","",""
"liburcu8t64","liburcu8t64","liburcu8t64","userspace RCU (read-copy-update) library","","","1","1","","","","Section=libs; Version=0.15.2-2","","","","","",""
"apt","apt","apt","commandline package manager","","","1","1","","","","Section=admin; Version=3.0.3","","","","","",""
"debconf-i18n","debconf-i18n","debconf-i18n","full internationalization support for debconf","","","1","1","","","","Section=localization; Version=1.5.91","","","","","",""
"libbpf1","libbpf1","libbpf1","eBPF helper library (shared library)","","","1","1","","","","Section=libs; Version=1:1.5.0-3","","","","","",""
"libdb5.3t64","libdb5.3t64","libdb5.3t64","Berkeley v5.3 Database Libraries [runtime]","","","1","1","","","","Section=libs; Version=5.3.28+dfsg2-9","","","","","",""
"libelf1t64","libelf1t64","libelf1t64","library to read and write ELF files","","","1","1","","","","Section=libs; Version=0.192-4","","","","","",""
"libmnl0","libmnl0","libmnl0","minimalistic Netlink communication library","","","1","1","","","","Section=libs; Version=1.0.5-3","","","","","",""
"libselinux1","libselinux1","libselinux1","SELinux runtime shared libraries","","","1","1","","","","Section=libs; Version=3.8.1-1","","","","","",""
"libtirpc3t64","libtirpc3t64","libtirpc3t64","transport-independent RPC library","","","1","1","","","","Section=libs; Version=1.3.6+ds-1","","","","","",""
"libxtables12","libxtables12","libxtables12","netfilter xtables library","","","1","1","","","","Section=libs; Version=1.8.11-2","","","","","",""
"libcap2-bin","libcap2-bin","libcap2-bin","POSIX 1003.1e capabilities (utilities)","","","1","1","","","","Section=utils; Version=1:2.75-10+b1","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libzstd1","libzstd1","libzstd1","fast lossless compression algorithm","","","1","1","","","","Section=libs; Version=1.5.7+dfsg-1","","","","","",""
"openssl-provider-legacy","openssl-provider-legacy","openssl-provider-legacy","Secure Sockets Layer toolkit - cryptographic utility","","","1","1","","","","Section=utils; Version=3.5.1-1","","","","","",""
"liblzma5","liblzma5","liblzma5","XZ-format compression library","","","1","1","","","","Section=libs; Version=5.8.1-1","","","","","",""
"","","","","","","","","","","","","bind9","adduser","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","bind9-libs","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","bind9-utils","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","debconf","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","dns-root-data","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","iproute2","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","netbase","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libcap2","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libfstrm0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libjemalloc2","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libjson-c5","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","liblmdb0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libmaxminddb0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libnghttp2-14","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libprotobuf-c1","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libssl3t64","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libuv1t64","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","libxml2","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","bind9","zlib1g","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","adduser","passwd","Depends","#333","1","Depends","{}"
