id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libpci-dev,libpci-dev,libpci-dev,PCI utilities (development files),,,1,1,,,,Section=libdevel; Version=1:3.13.0-2,,,,,,,
libpci3,libpci3,libpci3,PCI utilities (shared library),,,1,1,,,,Section=libs; Version=1:3.13.0-2,,,,,,,
libudev-dev,libudev-dev,libudev-dev,libudev development files,,,1,1,,,,Section=libdevel; Version=257.8-1~deb13u1,,,,,,,
zlib1g-dev,zlib1g-dev,zlib1g-dev,compression library - development,,,1,1,,,,Section=libdevel; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libudev1,libudev1,libudev1,libudev shared library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
pci.ids,pci.ids,pci.ids,PCI ID Repository,,,1,1,,,,Section=admin; Version=0.0~2025.06.09-1,,,,,,,
libcap-dev,libcap-dev,libcap-dev,POSIX 1003.1e capabilities (development),,,1,1,,,,Section=libdevel; Version=1:2.75-10+b1,,,,,,,
libc6-dev,libc6-dev,libc6-dev,GNU C Library: Development Libraries and Header Files,,,1,1,,,,Section=libdevel; Version=2.41-12,,,,,,,
,,,,,,,,,,,,libpci3,libpci-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libudev-dev,libpci-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g-dev,libpci-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libpci3,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libudev1,libpci3,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libpci3,Depends,#333,1,Depends,{}
,,,,,,,,,,,,pci.ids,libpci3,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcap-dev,libudev-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libudev1,libudev-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,zlib1g-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6-dev,zlib1g-dev,Depends,#333,1,Depends,{}
