id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"akonadi-backend-mysql","akonadi-backend-mysql","akonadi-backend-mysql","MySQL storage backend for Akonadi","","","1","1","","","","Section=misc; Version=4:24.12.3-1","","","","","","","",""
"default-mysql-client-core","default-mysql-client-core","default-mysql-client-core","MySQL database core client binaries (metapackage)","","","1","1","","","","Section=database; Version=1.1.1","","","","","","","",""
"default-mysql-server-core","default-mysql-server-core","default-mysql-server-core","MySQL database server binaries (metapackage)","","","1","1","","","","Section=database; Version=1.1.1","","","","","","","",""
"libqt6sql6-mysql","libqt6sql6-mysql","libqt6sql6-mysql","Qt 6 MySQL database driver","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-9","","","","","","","",""
"akonadi-server","akonadi-server","akonadi-server","Akonadi PIM storage service","","","1","1","","","","Section=net; Version=4:24.12.3-1","","","","","","","",""
"mariadb-client-core","mariadb-client-core","mariadb-client-core","MariaDB database core client binaries","","","1","1","","","","Section=database; Version=1:11.8.3-0+deb13u1","","","","","","","",""
"mariadb-server-core","mariadb-server-core","mariadb-server-core","MariaDB database core server files","","","1","1","","","","Section=database; Version=1:11.8.3-0+deb13u1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libmariadb3","libmariadb3","libmariadb3","MariaDB database client library","","","1","1","","","","Section=libs; Version=1:11.8.3-0+deb13u1","","","","","","","",""
"libqt6core6t64","libqt6core6t64","libqt6core6t64","Qt 6 core module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-9","","","","","","","",""
"libqt6sql6","libqt6sql6","libqt6sql6","Qt 6 SQL module","","","1","1","","","","Section=libs; Version=6.8.2+dfsg-9","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"qt6-base-private-abi","qt6-base-private-abi","qt6-base-private-abi","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"akonadi-backend-sqlite","akonadi-backend-sqlite","akonadi-backend-sqlite","SQLite storage backend for Akonadi","","","1","1","","","","Section=misc; Version=4:24.12.3-1","","","","","","","",""
