id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
bolt-19,bolt-19,bolt-19,Post-link optimizer,,,1,1,,,,Section=devel; Version=1:19.1.7-3+b1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libz3-4,libz3-4,libz3-4,theorem prover from Microsoft Research - runtime libraries,,,1,1,,,,Section=libs; Version=4.13.3-1,,,,,,,
libzstd1,libzstd1,libzstd1,fast lossless compression algorithm,,,1,1,,,,Section=libs; Version=1.5.7+dfsg-1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libbolt-19-dev,libbolt-19-dev,libbolt-19-dev,Post-link optimizer,,,1,1,,,,Section=libdevel; Version=1:19.1.7-3+b1,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
gcc-14-base,gcc-14-base,gcc-14-base,"GCC, the GNU Compiler Collection (base package)",,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
,,,,,,,,,,,,libc6,bolt-19,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,bolt-19,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,bolt-19,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libz3-4,bolt-19,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libzstd1,bolt-19,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,bolt-19,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libbolt-19-dev,bolt-19,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,gcc-14-base,libgcc-s1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libgcc-s1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,gcc-14-base,libstdc++6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libstdc++6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libstdc++6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libz3-4,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libz3-4,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,libz3-4,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libzstd1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,zlib1g,Depends,#333,1,Depends,{}
